pos_in,pos_out,neg_in,neg_out,prune_rate_in,prune_rate_out,sign_rate_in,sign_rate_out,layer
926,106,909,100,0.88800048828125,0.1953125,0.5046321525885559,0.5145631067961165,dense1
801,101,845,89,0.8995361328125,0.2578125,0.4866342648845686,0.531578947368421,dense1
916,86,886,110,0.8900146484375,0.234375,0.5083240843507214,0.4387755102040816,dense1
457,82,615,89,0.9345703125,0.33203125,0.42630597014925375,0.47953216374269003,dense1
864,112,952,83,0.88916015625,0.23828125,0.47577092511013214,0.5743589743589743,dense1
497,81,563,94,0.935302734375,0.31640625,0.4688679245283019,0.46285714285714286,dense1
873,103,733,80,0.9019775390625,0.28515625,0.5435865504358655,0.5628415300546448,dense1
14,105,18,99,0.998046875,0.203125,0.4375,0.5147058823529411,dense1
470,83,516,92,0.9398193359375,0.31640625,0.4766734279918864,0.4742857142857143,dense1
847,111,527,78,0.9161376953125,0.26171875,0.616448326055313,0.5873015873015873,dense1
912,102,876,91,0.890869140625,0.24609375,0.5100671140939598,0.5284974093264249,dense1
818,109,753,92,0.90411376953125,0.21484375,0.5206874602164226,0.5422885572139303,dense1
556,100,563,83,0.93170166015625,0.28515625,0.4968722073279714,0.546448087431694,dense1
287,93,326,96,0.96258544921875,0.26171875,0.46818923327895595,0.49206349206349204,dense1
856,105,585,94,0.91204833984375,0.22265625,0.594031922276197,0.5276381909547738,dense1
867,94,561,91,0.912841796875,0.27734375,0.6071428571428571,0.5081081081081081,dense1
175,86,253,103,0.973876953125,0.26171875,0.4088785046728972,0.455026455026455,dense1
687,103,667,89,0.9173583984375,0.25,0.5073855243722304,0.5364583333333334,dense1
874,99,801,93,0.89776611328125,0.25,0.5217910447761194,0.515625,dense1
542,107,229,86,0.95294189453125,0.24609375,0.7029831387808041,0.5544041450777202,dense1
746,82,743,113,0.90911865234375,0.23828125,0.5010073875083949,0.4205128205128205,dense1
262,96,314,72,0.96484375,0.34375,0.4548611111111111,0.5714285714285714,dense1
166,90,236,88,0.9754638671875,0.3046875,0.4129353233830846,0.5056179775280899,dense1
747,104,710,92,0.91107177734375,0.234375,0.5126973232669869,0.5306122448979592,dense1
500,119,71,75,0.96514892578125,0.2421875,0.8756567425569177,0.6134020618556701,dense1
753,117,784,92,0.90618896484375,0.18359375,0.48991541964866625,0.5598086124401914,dense1
838,93,1029,83,0.88604736328125,0.3125,0.4488484199250134,0.5284090909090909,dense1
840,114,793,90,0.90032958984375,0.203125,0.5143906919779547,0.5588235294117647,dense1
547,100,596,84,0.93023681640625,0.28125,0.4785651793525809,0.5434782608695652,dense1
901,100,809,90,0.8956298828125,0.2578125,0.5269005847953216,0.5263157894736842,dense1
759,96,656,93,0.91363525390625,0.26171875,0.5363957597173145,0.5079365079365079,dense1
841,124,360,84,0.92669677734375,0.1875,0.7002497918401333,0.5961538461538461,dense1
895,99,705,85,0.90234375,0.28125,0.559375,0.5380434782608695,dense1
852,115,713,85,0.90447998046875,0.21875,0.544408945686901,0.575,dense1
358,73,502,93,0.947509765625,0.3515625,0.41627906976744183,0.4397590361445783,dense1
16,105,30,90,0.9971923828125,0.23828125,0.34782608695652173,0.5384615384615384,dense1
948,115,364,84,0.919921875,0.22265625,0.7225609756097561,0.5778894472361809,dense1
818,99,679,97,0.90863037109375,0.234375,0.5464261857047428,0.5051020408163265,dense1
335,86,361,98,0.95751953125,0.28125,0.4813218390804598,0.4673913043478261,dense1
442,88,425,94,0.94708251953125,0.2890625,0.5098039215686274,0.4835164835164835,dense1
132,88,236,82,0.9775390625,0.3359375,0.358695652173913,0.5176470588235295,dense1
828,117,440,93,0.922607421875,0.1796875,0.6529968454258676,0.5571428571428572,dense1
783,100,686,102,0.91033935546875,0.2109375,0.5330156569094622,0.49504950495049505,dense1
820,96,712,84,0.906494140625,0.296875,0.5352480417754569,0.5333333333333333,dense1
1056,104,1019,92,0.87335205078125,0.234375,0.5089156626506024,0.5306122448979592,dense1
842,97,831,95,0.89788818359375,0.25,0.5032875074716079,0.5052083333333334,dense1
402,93,441,87,0.94854736328125,0.296875,0.47686832740213525,0.5166666666666667,dense1
764,104,614,100,0.9158935546875,0.203125,0.5544267053701016,0.5098039215686274,dense1
856,97,873,83,0.89447021484375,0.296875,0.4950838635049161,0.5388888888888889,dense1
644,96,790,77,0.9124755859375,0.32421875,0.4490934449093445,0.5549132947976878,dense1
132,89,224,84,0.978271484375,0.32421875,0.3707865168539326,0.5144508670520231,dense1
844,87,721,116,0.90447998046875,0.20703125,0.5392971246006389,0.42857142857142855,dense1
285,86,498,87,0.95220947265625,0.32421875,0.36398467432950193,0.49710982658959535,dense1
26,88,32,104,0.9964599609375,0.25,0.4482758620689655,0.4583333333333333,dense1
437,88,495,88,0.943115234375,0.3125,0.4688841201716738,0.5,dense1
622,95,549,91,0.92852783203125,0.2734375,0.5311699402220325,0.510752688172043,dense1
741,104,679,94,0.913330078125,0.2265625,0.5218309859154929,0.5252525252525253,dense1
864,103,740,94,0.902099609375,0.23046875,0.5386533665835411,0.5228426395939086,dense1
823,95,828,107,0.89923095703125,0.2109375,0.4984857662023016,0.47029702970297027,dense1
946,98,747,99,0.89666748046875,0.23046875,0.5587714116952156,0.49746192893401014,dense1
781,91,716,105,0.90863037109375,0.234375,0.5217100868403474,0.4642857142857143,dense1
695,97,608,105,0.92047119140625,0.2109375,0.533384497313891,0.4801980198019802,dense1
323,81,337,92,0.959716796875,0.32421875,0.4893939393939394,0.4682080924855491,dense1
761,106,624,82,0.91546630859375,0.265625,0.5494584837545127,0.5638297872340425,dense1
499,85,595,84,0.9332275390625,0.33984375,0.45612431444241314,0.5029585798816568,dense1
487,89,510,97,0.93914794921875,0.2734375,0.4884653961885657,0.478494623655914,dense1
812,99,765,86,0.90374755859375,0.27734375,0.5149017121116043,0.5351351351351351,dense1
591,98,597,83,0.927490234375,0.29296875,0.49747474747474746,0.5414364640883977,dense1
918,106,809,95,0.89459228515625,0.21484375,0.5315576143601621,0.527363184079602,dense1
1030,102,1077,95,0.87139892578125,0.23046875,0.48884670147128617,0.5177664974619289,dense1
817,86,764,97,0.90350341796875,0.28515625,0.5167615433270082,0.46994535519125685,dense1
406,96,493,85,0.94512939453125,0.29296875,0.45161290322580644,0.5303867403314917,dense1
10,86,17,90,0.99835205078125,0.3125,0.37037037037037035,0.48863636363636365,dense1
510,100,560,85,0.9346923828125,0.27734375,0.4766355140186916,0.5405405405405406,dense1
277,94,330,84,0.96295166015625,0.3046875,0.45634266886326197,0.5280898876404494,dense1
497,86,662,88,0.92926025390625,0.3203125,0.4288179465056083,0.4942528735632184,dense1
989,87,975,100,0.880126953125,0.26953125,0.5035641547861507,0.46524064171123,dense1
1030,104,968,86,0.8780517578125,0.2578125,0.5155155155155156,0.5473684210526316,dense1
782,97,811,90,0.90277099609375,0.26953125,0.4908976773383553,0.5187165775401069,dense1
190,99,226,92,0.974609375,0.25390625,0.4567307692307692,0.518324607329843,dense1
376,85,488,86,0.947265625,0.33203125,0.4351851851851852,0.49707602339181284,dense1
808,83,759,103,0.90435791015625,0.2734375,0.5156349712827059,0.44623655913978494,dense1
877,109,766,92,0.89971923828125,0.21484375,0.5337796713329276,0.5422885572139303,dense1
285,95,305,76,0.9639892578125,0.33203125,0.4830508474576271,0.5555555555555556,dense1
890,94,897,104,0.89093017578125,0.2265625,0.498041410184667,0.47474747474747475,dense1
1173,121,392,73,0.90447998046875,0.2421875,0.7495207667731629,0.6237113402061856,dense1
727,109,485,94,0.926025390625,0.20703125,0.5998349834983498,0.5369458128078818,dense1
815,105,781,95,0.902587890625,0.21875,0.5106516290726817,0.525,dense1
896,96,772,101,0.898193359375,0.23046875,0.5371702637889688,0.4873096446700508,dense1
1,101,42,109,0.99737548828125,0.1796875,0.023255813953488372,0.48095238095238096,dense1
511,83,633,91,0.93017578125,0.3203125,0.44667832167832167,0.47701149425287354,dense1
459,106,138,77,0.96356201171875,0.28515625,0.7688442211055276,0.5792349726775956,dense1
929,92,989,98,0.8829345703125,0.2578125,0.48435870698644423,0.4842105263157895,dense1
826,111,783,95,0.90179443359375,0.1953125,0.5133623368551895,0.5388349514563107,dense1
411,103,551,86,0.9412841796875,0.26171875,0.42723492723492723,0.544973544973545,dense1
883,112,734,81,0.90130615234375,0.24609375,0.5460729746444032,0.5803108808290155,dense1
908,82,856,100,0.892333984375,0.2890625,0.5147392290249433,0.45054945054945056,dense1
471,97,612,87,0.93389892578125,0.28125,0.43490304709141275,0.5271739130434783,dense1
212,80,227,95,0.97320556640625,0.31640625,0.48291571753986334,0.45714285714285713,dense1
671,113,644,88,0.91973876953125,0.21484375,0.5102661596958175,0.5621890547263682,dense1
997,87,931,99,0.88232421875,0.2734375,0.5171161825726142,0.46774193548387094,dense1
9,92,27,81,0.997802734375,0.32421875,0.25,0.5317919075144508,dense1
767,107,706,88,0.91009521484375,0.23828125,0.5207060420909708,0.5487179487179488,dense1
1211,105,1118,85,0.85784912109375,0.2578125,0.5199656504937742,0.5526315789473685,dense1
976,124,532,80,0.907958984375,0.203125,0.6472148541114059,0.6078431372549019,dense1
852,120,483,96,0.91851806640625,0.15625,0.6382022471910113,0.5555555555555556,dense1
977,94,929,90,0.8836669921875,0.28125,0.5125918153200419,0.5108695652173914,dense1
883,87,761,104,0.899658203125,0.25390625,0.5371046228710462,0.45549738219895286,dense1
857,90,792,98,0.89935302734375,0.265625,0.5197089144936325,0.4787234042553192,dense1
235,91,324,78,0.96588134765625,0.33984375,0.4203935599284436,0.5384615384615384,dense1
821,87,715,86,0.90625,0.32421875,0.5345052083333334,0.5028901734104047,dense1
889,101,534,95,0.91314697265625,0.234375,0.6247364722417428,0.5153061224489796,dense1
