no_incomming,no_outgoing,no_total_conncetions,layer,model
14,0,0,dense1,WT_CIFAR_IMP_0
0,0,0,dense2,WT_CIFAR_IMP_0
14,0,0,dense1,WT_CIFAR_IMP_1
0,0,0,dense2,WT_CIFAR_IMP_1
20,0,0,dense1,WT_CIFAR_IMP_2
0,0,0,dense2,WT_CIFAR_IMP_2
18,0,0,dense1,WT_CIFAR_IMP_3
0,0,0,dense2,WT_CIFAR_IMP_3
9,0,0,dense1,WT_CIFAR_IMP_4
0,0,0,dense2,WT_CIFAR_IMP_4
3,0,0,dense1,WT_CIFAR_IMP_5
0,0,0,dense2,WT_CIFAR_IMP_5
8,0,0,dense1,WT_CIFAR_IMP_6
0,0,0,dense2,WT_CIFAR_IMP_6
10,0,0,dense1,WT_CIFAR_IMP_7
0,0,0,dense2,WT_CIFAR_IMP_7
6,0,0,dense1,WT_CIFAR_IMP_8
0,0,0,dense2,WT_CIFAR_IMP_8
6,0,0,dense1,WT_CIFAR_IMP_9
0,0,0,dense2,WT_CIFAR_IMP_9
7,0,0,dense1,WT_CIFAR_IMP_10
0,0,0,dense2,WT_CIFAR_IMP_10
4,0,0,dense1,WT_CIFAR_IMP_11
0,0,0,dense2,WT_CIFAR_IMP_11
14,0,0,dense1,WT_CIFAR_IMP_12
0,0,0,dense2,WT_CIFAR_IMP_12
20,0,0,dense1,WT_CIFAR_IMP_13
0,0,0,dense2,WT_CIFAR_IMP_13
6,0,0,dense1,WT_CIFAR_IMP_14
0,0,0,dense2,WT_CIFAR_IMP_14
