pos_in,pos_out,neg_in,neg_out,prune_rate_in,prune_rate_out,sign_rate_in,sign_rate_out,layer
428,101,521,69,0.94207763671875,0.3359375,0.45100105374077976,0.5941176470588235,dense1
1062,110,863,80,0.88250732421875,0.2578125,0.5516883116883117,0.5789473684210527,dense1
0,93,0,94,1.0,0.26953125,0.0,0.49732620320855614,dense1
1052,94,1052,95,0.87158203125,0.26171875,0.5,0.4973544973544973,dense1
85,94,145,78,0.9859619140625,0.328125,0.3695652173913043,0.5465116279069767,dense1
1238,95,1161,83,0.85357666015625,0.3046875,0.516048353480617,0.5337078651685393,dense1
1237,101,1187,79,0.85205078125,0.296875,0.5103135313531353,0.5611111111111111,dense1
502,85,577,78,0.93414306640625,0.36328125,0.4652455977757183,0.5214723926380368,dense1
877,92,1031,82,0.883544921875,0.3203125,0.45964360587002095,0.5287356321839081,dense1
1162,122,702,78,0.88623046875,0.21875,0.6233905579399142,0.61,dense1
1185,94,1074,102,0.86212158203125,0.234375,0.5245683930942895,0.47959183673469385,dense1
715,82,590,88,0.92034912109375,0.3359375,0.5478927203065134,0.4823529411764706,dense1
133,87,178,87,0.98101806640625,0.3203125,0.42765273311897106,0.5,dense1
523,88,638,80,0.92913818359375,0.34375,0.45047372954349696,0.5238095238095238,dense1
1107,97,1091,90,0.8658447265625,0.26953125,0.5036396724294814,0.5187165775401069,dense1
0,112,0,99,1.0,0.17578125,0.0,0.5308056872037915,dense1
1165,107,1202,86,0.85552978515625,0.24609375,0.49218419940853403,0.5544041450777202,dense1
235,71,245,73,0.970703125,0.4375,0.4895833333333333,0.4930555555555556,dense1
1188,85,1231,90,0.85235595703125,0.31640625,0.49111202976436547,0.4857142857142857,dense1
1140,94,1199,86,0.85723876953125,0.296875,0.4873877725523728,0.5222222222222223,dense1
431,85,573,76,0.938720703125,0.37109375,0.4292828685258964,0.5279503105590062,dense1
0,99,0,98,1.0,0.23046875,0.0,0.5025380710659898,dense1
0,105,0,87,1.0,0.25,0.0,0.546875,dense1
1233,92,1142,91,0.85504150390625,0.28515625,0.5191578947368422,0.5027322404371585,dense1
993,101,978,83,0.87969970703125,0.28125,0.5038051750380518,0.5489130434782609,dense1
1162,98,1218,87,0.854736328125,0.27734375,0.48823529411764705,0.5297297297297298,dense1
519,78,499,84,0.9378662109375,0.3671875,0.5098231827111984,0.48148148148148145,dense1
1050,93,992,86,0.8753662109375,0.30078125,0.5142017629774731,0.5195530726256983,dense1
1131,107,1332,88,0.84967041015625,0.23828125,0.4591961023142509,0.5487179487179488,dense1
543,82,711,84,0.9234619140625,0.3515625,0.43301435406698563,0.4939759036144578,dense1
179,86,269,88,0.97265625,0.3203125,0.39955357142857145,0.4942528735632184,dense1
388,82,478,86,0.9471435546875,0.34375,0.44803695150115475,0.4880952380952381,dense1
0,101,0,107,1.0,0.1875,0.0,0.4855769230769231,dense1
1014,115,996,86,0.8773193359375,0.21484375,0.5044776119402985,0.572139303482587,dense1
0,106,0,89,1.0,0.23828125,0.0,0.5435897435897435,dense1
1292,108,1193,85,0.84832763671875,0.24609375,0.5199195171026157,0.5595854922279793,dense1
886,83,851,91,0.89398193359375,0.3203125,0.5100748416810593,0.47701149425287354,dense1
264,76,295,94,0.96588134765625,0.3359375,0.47227191413237923,0.4470588235294118,dense1
199,70,324,67,0.96807861328125,0.46484375,0.38049713193116635,0.5109489051094891,dense1
1000,120,996,81,0.878173828125,0.21484375,0.501002004008016,0.5970149253731343,dense1
604,99,635,76,0.92437744140625,0.31640625,0.48748991121872476,0.5657142857142857,dense1
0,101,0,92,1.0,0.24609375,0.0,0.5233160621761658,dense1
234,70,465,88,0.95733642578125,0.3828125,0.33476394849785407,0.4430379746835443,dense1
0,105,0,110,1.0,0.16015625,0.0,0.4883720930232558,dense1
1144,114,1179,81,0.85821533203125,0.23828125,0.49246663796814466,0.5846153846153846,dense1
687,77,717,87,0.914306640625,0.359375,0.4893162393162393,0.4695121951219512,dense1
0,74,98,90,0.9940185546875,0.359375,0.0,0.45121951219512196,dense1
554,80,493,77,0.93609619140625,0.38671875,0.5291308500477555,0.5095541401273885,dense1
1064,108,790,80,0.8868408203125,0.265625,0.5738942826321467,0.574468085106383,dense1
0,102,0,92,1.0,0.2421875,0.0,0.5257731958762887,dense1
286,88,329,73,0.96246337890625,0.37109375,0.46504065040650405,0.546583850931677,dense1
823,90,935,86,0.8927001953125,0.3125,0.4681456200227531,0.5113636363636364,dense1
97,88,120,75,0.98675537109375,0.36328125,0.4470046082949309,0.5398773006134969,dense1
0,94,0,107,1.0,0.21484375,0.0,0.46766169154228854,dense1
0,104,0,103,1.0,0.19140625,0.0,0.5024154589371981,dense1
0,111,0,75,1.0,0.2734375,0.0,0.5967741935483871,dense1
463,87,454,79,0.94403076171875,0.3515625,0.504907306434024,0.5240963855421686,dense1
0,88,0,108,1.0,0.234375,0.0,0.4489795918367347,dense1
0,100,0,72,1.0,0.328125,0.0,0.5813953488372093,dense1
1228,83,1222,101,0.8504638671875,0.28125,0.5012244897959184,0.45108695652173914,dense1
1112,81,1128,95,0.86328125,0.3125,0.49642857142857144,0.4602272727272727,dense1
1116,91,1055,88,0.86749267578125,0.30078125,0.5140488254260709,0.5083798882681564,dense1
0,92,0,103,1.0,0.23828125,0.0,0.4717948717948718,dense1
221,79,298,92,0.96832275390625,0.33203125,0.4258188824662813,0.4619883040935672,dense1
0,94,0,85,1.0,0.30078125,0.0,0.5251396648044693,dense1
190,84,236,87,0.9739990234375,0.33203125,0.4460093896713615,0.49122807017543857,dense1
919,118,965,78,0.885009765625,0.234375,0.487791932059448,0.6020408163265306,dense1
378,76,408,89,0.9520263671875,0.35546875,0.48091603053435117,0.46060606060606063,dense1
361,75,493,90,0.9478759765625,0.35546875,0.42271662763466045,0.45454545454545453,dense1
856,99,945,76,0.89007568359375,0.31640625,0.47529150471960024,0.5657142857142857,dense1
1250,89,1212,98,0.8497314453125,0.26953125,0.5077173030056864,0.47593582887700536,dense1
1150,106,1052,92,0.8656005859375,0.2265625,0.522252497729337,0.5353535353535354,dense1
1058,113,632,73,0.8968505859375,0.2734375,0.6260355029585799,0.6075268817204301,dense1
1385,113,1377,90,0.8314208984375,0.20703125,0.501448225923244,0.5566502463054187,dense1
288,79,432,92,0.9560546875,0.33203125,0.4,0.4619883040935672,dense1
0,106,0,98,1.0,0.203125,0.0,0.5196078431372549,dense1
0,97,0,95,1.0,0.25,0.0,0.5052083333333334,dense1
0,86,0,106,1.0,0.25,0.0,0.4479166666666667,dense1
1100,134,705,70,0.88983154296875,0.203125,0.6094182825484764,0.6568627450980392,dense1
1017,111,1006,83,0.87652587890625,0.2421875,0.5027187345526446,0.5721649484536082,dense1
1101,101,1133,82,0.8636474609375,0.28515625,0.4928379588182632,0.5519125683060109,dense1
532,77,614,75,0.9300537109375,0.40625,0.4642233856893543,0.506578947368421,dense1
55,75,71,76,0.9923095703125,0.41015625,0.4365079365079365,0.4966887417218543,dense1
1153,100,1076,94,0.86395263671875,0.2421875,0.5172723194257515,0.5154639175257731,dense1
1317,96,1267,94,0.84228515625,0.2578125,0.5096749226006192,0.5052631578947369,dense1
0,87,0,105,1.0,0.25,0.0,0.453125,dense1
0,94,0,111,1.0,0.19921875,0.0,0.4585365853658537,dense1
1136,108,1116,84,0.862548828125,0.25,0.5044404973357016,0.5625,dense1
1097,97,1062,85,0.86822509765625,0.2890625,0.508105604446503,0.532967032967033,dense1
1160,95,1257,81,0.85247802734375,0.3125,0.4799338022341746,0.5397727272727273,dense1
80,84,136,102,0.98681640625,0.2734375,0.37037037037037035,0.45161290322580644,dense1
1192,99,1069,87,0.86199951171875,0.2734375,0.5272003538257408,0.532258064516129,dense1
1059,93,1075,93,0.8697509765625,0.2734375,0.49625117150890347,0.5,dense1
124,69,186,85,0.9810791015625,0.3984375,0.4,0.44805194805194803,dense1
868,86,822,89,0.8968505859375,0.31640625,0.5136094674556213,0.49142857142857144,dense1
544,97,624,73,0.9287109375,0.3359375,0.4657534246575342,0.5705882352941176,dense1
