no_incomming,no_outgoing,no_total_conncetions,layer,model
54,0,0,dense1,WT_CINIC_IMP_0
0,0,0,dense2,WT_CINIC_IMP_0
45,0,0,dense1,WT_CINIC_IMP_1
0,0,0,dense2,WT_CINIC_IMP_1
47,0,0,dense1,WT_CINIC_IMP_2
0,0,0,dense2,WT_CINIC_IMP_2
36,0,0,dense1,WT_CINIC_IMP_3
0,0,0,dense2,WT_CINIC_IMP_3
47,0,0,dense1,WT_CINIC_IMP_4
0,0,0,dense2,WT_CINIC_IMP_4
43,0,0,dense1,WT_CINIC_IMP_5
0,0,0,dense2,WT_CINIC_IMP_5
44,0,0,dense1,WT_CINIC_IMP_6
0,0,0,dense2,WT_CINIC_IMP_6
54,0,0,dense1,WT_CINIC_IMP_7
0,0,0,dense2,WT_CINIC_IMP_7
36,0,0,dense1,WT_CINIC_IMP_8
0,0,0,dense2,WT_CINIC_IMP_8
41,0,0,dense1,WT_CINIC_IMP_9
0,0,0,dense2,WT_CINIC_IMP_9
51,0,0,dense1,WT_CINIC_IMP_10
0,0,0,dense2,WT_CINIC_IMP_10
30,0,0,dense1,WT_CINIC_IMP_11
0,0,0,dense2,WT_CINIC_IMP_11
42,0,0,dense1,WT_CINIC_IMP_12
0,0,0,dense2,WT_CINIC_IMP_12
11,0,0,dense1,WT_CINIC_IMP_13
0,0,0,dense2,WT_CINIC_IMP_13
55,0,0,dense1,WT_CINIC_IMP_14
0,0,0,dense2,WT_CINIC_IMP_14
