pos_in,pos_out,neg_in,neg_out,prune_rate_in,prune_rate_out,sign_rate_in,sign_rate_out,layer
587,88,569,98,0.929443359375,0.2734375,0.5077854671280276,0.4731182795698925,dense1
650,86,566,100,0.92578125,0.2734375,0.5345394736842105,0.46236559139784944,dense1
604,97,563,99,0.92877197265625,0.234375,0.517566409597258,0.49489795918367346,dense1
558,91,548,103,0.9324951171875,0.2421875,0.5045207956600362,0.4690721649484536,dense1
560,89,586,110,0.9300537109375,0.22265625,0.4886561954624782,0.4472361809045226,dense1
589,75,596,96,0.92767333984375,0.33203125,0.4970464135021097,0.43859649122807015,dense1
559,102,598,93,0.92938232421875,0.23828125,0.48314606741573035,0.5230769230769231,dense1
568,92,569,84,0.93060302734375,0.3125,0.4995602462620932,0.5227272727272727,dense1
584,98,600,92,0.927734375,0.2578125,0.49324324324324326,0.5157894736842106,dense1
593,96,587,97,0.927978515625,0.24609375,0.502542372881356,0.49740932642487046,dense1
566,102,632,92,0.9268798828125,0.2421875,0.4724540901502504,0.5257731958762887,dense1
592,88,565,95,0.92938232421875,0.28515625,0.5116681071737251,0.4808743169398907,dense1
547,85,561,101,0.932373046875,0.2734375,0.4936823104693141,0.45698924731182794,dense1
636,80,603,106,0.92437744140625,0.2734375,0.513317191283293,0.43010752688172044,dense1
583,96,573,101,0.929443359375,0.23046875,0.504325259515571,0.4873096446700508,dense1
573,89,565,101,0.9305419921875,0.2578125,0.5035149384885764,0.46842105263157896,dense1
533,99,578,88,0.93218994140625,0.26953125,0.47974797479747977,0.5294117647058824,dense1
587,87,625,113,0.926025390625,0.21875,0.48432343234323433,0.435,dense1
578,96,595,85,0.92840576171875,0.29296875,0.4927536231884058,0.5303867403314917,dense1
631,104,560,95,0.92730712890625,0.22265625,0.5298068849706129,0.5226130653266332,dense1
589,101,559,85,0.929931640625,0.2734375,0.5130662020905923,0.543010752688172,dense1
597,100,548,83,0.93011474609375,0.28515625,0.5213973799126638,0.546448087431694,dense1
562,106,624,88,0.9276123046875,0.2421875,0.47386172006745364,0.5463917525773195,dense1
576,93,588,93,0.928955078125,0.2734375,0.4948453608247423,0.5,dense1
545,97,564,87,0.93231201171875,0.28125,0.4914337240757439,0.5271739130434783,dense1
588,84,575,94,0.92901611328125,0.3046875,0.5055889939810834,0.47191011235955055,dense1
586,90,578,83,0.928955078125,0.32421875,0.5034364261168385,0.5202312138728323,dense1
587,89,585,96,0.928466796875,0.27734375,0.5008532423208191,0.4810810810810811,dense1
604,89,583,79,0.92755126953125,0.34375,0.5088458298230834,0.5297619047619048,dense1
602,95,612,98,0.9259033203125,0.24609375,0.4958813838550247,0.49222797927461137,dense1
595,98,564,101,0.92926025390625,0.22265625,0.5133735979292493,0.49246231155778897,dense1
577,87,609,93,0.9276123046875,0.296875,0.48650927487352447,0.48333333333333334,dense1
572,109,555,78,0.93121337890625,0.26953125,0.5075421472937001,0.5828877005347594,dense1
528,94,600,95,0.93115234375,0.26171875,0.46808510638297873,0.4973544973544973,dense1
575,100,555,85,0.9310302734375,0.27734375,0.5088495575221239,0.5405405405405406,dense1
572,110,590,91,0.9290771484375,0.21484375,0.49225473321858865,0.5472636815920398,dense1
591,107,562,95,0.92962646484375,0.2109375,0.5125758889852559,0.5297029702970297,dense1
613,94,609,92,0.9254150390625,0.2734375,0.5016366612111293,0.5053763440860215,dense1
611,95,601,102,0.926025390625,0.23046875,0.5041254125412541,0.48223350253807107,dense1
611,87,574,104,0.92767333984375,0.25390625,0.5156118143459916,0.45549738219895286,dense1
565,99,585,84,0.9298095703125,0.28515625,0.49130434782608695,0.5409836065573771,dense1
581,98,627,98,0.92626953125,0.234375,0.48096026490066224,0.5,dense1
567,103,627,85,0.9271240234375,0.265625,0.4748743718592965,0.5478723404255319,dense1
577,80,551,108,0.93115234375,0.265625,0.5115248226950354,0.425531914893617,dense1
589,112,606,88,0.92706298828125,0.21875,0.4928870292887029,0.56,dense1
613,105,567,88,0.927978515625,0.24609375,0.5194915254237288,0.5440414507772021,dense1
544,105,566,83,0.9322509765625,0.265625,0.4900900900900901,0.5585106382978723,dense1
629,91,599,103,0.925048828125,0.2421875,0.512214983713355,0.4690721649484536,dense1
592,100,626,103,0.9256591796875,0.20703125,0.4860426929392447,0.49261083743842365,dense1
562,102,620,90,0.9278564453125,0.25,0.4754653130287648,0.53125,dense1
587,84,604,110,0.92730712890625,0.2421875,0.49286314021830396,0.4329896907216495,dense1
620,113,602,91,0.9254150390625,0.203125,0.5073649754500819,0.553921568627451,dense1
