no_incomming,no_outgoing,no_total_conncetions,layer,model
0,0,0,dense1,RSN_0
0,0,0,dense2,RSN_0
0,0,0,dense1,RSN_1
0,0,0,dense2,RSN_1
0,0,0,dense1,RSN_2
0,0,0,dense2,RSN_2
0,0,0,dense1,RSN_3
0,0,0,dense2,RSN_3
0,0,0,dense1,RSN_4
0,0,0,dense2,RSN_4
0,0,0,dense1,RSN_5
0,0,0,dense2,RSN_5
0,0,0,dense1,RSN_6
0,0,0,dense2,RSN_6
0,0,0,dense1,RSN_7
0,0,0,dense2,RSN_7
0,0,0,dense1,RSN_8
0,0,0,dense2,RSN_8
0,0,0,dense1,RSN_9
0,0,0,dense2,RSN_9
0,0,0,dense1,RSN_10
0,0,0,dense2,RSN_10
0,0,0,dense1,RSN_11
0,0,0,dense2,RSN_11
0,0,0,dense1,RSN_12
0,0,0,dense2,RSN_12
0,0,0,dense1,RSN_13
0,0,0,dense2,RSN_13
0,0,0,dense1,RSN_14
0,0,0,dense2,RSN_14
