pos_in,pos_out,neg_in,neg_out,prune_rate_in,prune_rate_out,sign_rate_in,sign_rate_out,layer
681,89,621,88,0.9205322265625,0.30859375,0.5230414746543779,0.5028248587570622,dense1
742,102,584,98,0.9190673828125,0.21875,0.5595776772247361,0.51,dense1
671,100,600,79,0.92242431640625,0.30078125,0.5279307631785995,0.5586592178770949,dense1
882,85,1073,95,0.88067626953125,0.296875,0.451150895140665,0.4722222222222222,dense1
920,90,944,105,0.88623046875,0.23828125,0.49356223175965663,0.46153846153846156,dense1
972,77,955,111,0.88238525390625,0.265625,0.5044110015568241,0.4095744680851064,dense1
920,93,914,85,0.8880615234375,0.3046875,0.5016357688113413,0.5224719101123596,dense1
818,90,737,89,0.90509033203125,0.30078125,0.5260450160771705,0.5027932960893855,dense1
436,83,491,93,0.94342041015625,0.3125,0.4703344120819849,0.4715909090909091,dense1
591,94,653,76,0.924072265625,0.3359375,0.47508038585209006,0.5529411764705883,dense1
256,89,283,93,0.96710205078125,0.2890625,0.4749536178107607,0.489010989010989,dense1
802,85,812,95,0.9014892578125,0.296875,0.4969021065675341,0.4722222222222222,dense1
451,77,505,92,0.941650390625,0.33984375,0.47175732217573224,0.4556213017751479,dense1
0,100,191,90,0.98834228515625,0.2578125,0.0,0.5263157894736842,dense1
599,89,700,86,0.92071533203125,0.31640625,0.4611239414934565,0.5085714285714286,dense1
1040,73,899,99,0.88165283203125,0.328125,0.5363589479112945,0.42441860465116277,dense1
394,89,410,69,0.950927734375,0.3828125,0.4900497512437811,0.5632911392405063,dense1
430,116,283,72,0.95648193359375,0.265625,0.603085553997195,0.6170212765957447,dense1
158,104,209,82,0.97760009765625,0.2734375,0.4305177111716621,0.5591397849462365,dense1
816,115,817,85,0.90032958984375,0.21875,0.49969381506429883,0.575,dense1
15,107,284,99,0.98175048828125,0.1953125,0.05016722408026756,0.5194174757281553,dense1
1019,91,970,92,0.87860107421875,0.28515625,0.5123177476118652,0.4972677595628415,dense1
935,101,932,95,0.88604736328125,0.234375,0.500803427959293,0.5153061224489796,dense1
854,106,836,95,0.8968505859375,0.21484375,0.5053254437869823,0.527363184079602,dense1
889,106,899,79,0.890869140625,0.27734375,0.49720357941834453,0.572972972972973,dense1
1034,103,881,101,0.88311767578125,0.203125,0.5399477806788512,0.5049019607843137,dense1
1208,129,699,73,0.88360595703125,0.2109375,0.6334556895647614,0.6386138613861386,dense1
852,87,823,99,0.89776611328125,0.2734375,0.5086567164179104,0.46774193548387094,dense1
1101,100,936,102,0.87567138671875,0.2109375,0.540500736377025,0.49504950495049505,dense1
0,103,15,100,0.99908447265625,0.20703125,0.0,0.5073891625615764,dense1
197,92,214,106,0.97491455078125,0.2265625,0.4793187347931874,0.46464646464646464,dense1
306,104,294,92,0.96337890625,0.234375,0.51,0.5306122448979592,dense1
744,93,707,81,0.91143798828125,0.3203125,0.512749827705031,0.5344827586206896,dense1
377,101,389,80,0.9532470703125,0.29296875,0.49216710182767626,0.5580110497237569,dense1
322,83,410,87,0.955322265625,0.3359375,0.43989071038251365,0.48823529411764705,dense1
787,99,817,98,0.902099609375,0.23046875,0.4906483790523691,0.5025380710659898,dense1
703,86,857,90,0.90478515625,0.3125,0.45064102564102565,0.48863636363636365,dense1
1127,97,1077,92,0.865478515625,0.26171875,0.5113430127041743,0.5132275132275133,dense1
313,78,370,100,0.95831298828125,0.3046875,0.4582723279648609,0.43820224719101125,dense1
995,114,894,79,0.88470458984375,0.24609375,0.5267337215457915,0.5906735751295337,dense1
1318,86,1356,91,0.8367919921875,0.30859375,0.49289454001495886,0.4858757062146893,dense1
1139,100,991,93,0.8699951171875,0.24609375,0.5347417840375587,0.5181347150259067,dense1
938,90,888,91,0.8885498046875,0.29296875,0.5136911281489595,0.4972375690607735,dense1
971,106,1021,87,0.87841796875,0.24609375,0.48744979919678716,0.5492227979274611,dense1
1106,120,676,82,0.8912353515625,0.2109375,0.6206509539842873,0.594059405940594,dense1
205,92,236,85,0.97308349609375,0.30859375,0.46485260770975056,0.519774011299435,dense1
