no_incomming,no_outgoing,no_total_conncetions,layer,model
28,0,0,dense1,WT_SVHN_IMP_0
0,0,0,dense2,WT_SVHN_IMP_0
28,0,0,dense1,WT_SVHN_IMP_1
0,0,0,dense2,WT_SVHN_IMP_1
53,0,0,dense1,WT_SVHN_IMP_2
0,0,0,dense2,WT_SVHN_IMP_2
21,0,0,dense1,WT_SVHN_IMP_3
0,0,0,dense2,WT_SVHN_IMP_3
21,0,0,dense1,WT_SVHN_IMP_4
0,0,0,dense2,WT_SVHN_IMP_4
37,0,0,dense1,WT_SVHN_IMP_5
0,0,0,dense2,WT_SVHN_IMP_5
27,0,0,dense1,WT_SVHN_IMP_6
0,0,0,dense2,WT_SVHN_IMP_6
26,0,0,dense1,WT_SVHN_IMP_7
0,0,0,dense2,WT_SVHN_IMP_7
38,0,0,dense1,WT_SVHN_IMP_8
0,0,0,dense2,WT_SVHN_IMP_8
31,0,0,dense1,WT_SVHN_IMP_9
0,0,0,dense2,WT_SVHN_IMP_9
38,0,0,dense1,WT_SVHN_IMP_10
0,0,0,dense2,WT_SVHN_IMP_10
31,0,0,dense1,WT_SVHN_IMP_11
0,0,0,dense2,WT_SVHN_IMP_11
32,0,0,dense1,WT_SVHN_IMP_12
0,0,0,dense2,WT_SVHN_IMP_12
25,0,0,dense1,WT_SVHN_IMP_13
0,0,0,dense2,WT_SVHN_IMP_13
35,0,0,dense1,WT_SVHN_IMP_14
0,0,0,dense2,WT_SVHN_IMP_14
