no_incomming,no_outgoing,no_total_conncetions,layer,model
0,0,0,dense1,WT_CIFAR_IMP65_0
0,0,0,dense2,WT_CIFAR_IMP65_0
0,0,0,dense1,WT_CIFAR_IMP65_1
0,0,0,dense2,WT_CIFAR_IMP65_1
0,0,0,dense1,WT_CIFAR_IMP65_2
0,0,0,dense2,WT_CIFAR_IMP65_2
0,0,0,dense1,WT_CIFAR_IMP65_3
0,0,0,dense2,WT_CIFAR_IMP65_3
0,0,0,dense1,WT_CIFAR_IMP65_4
0,0,0,dense2,WT_CIFAR_IMP65_4
0,0,0,dense1,WT_CIFAR_IMP65_5
0,0,0,dense2,WT_CIFAR_IMP65_5
0,0,0,dense1,WT_CIFAR_IMP65_6
0,0,0,dense2,WT_CIFAR_IMP65_6
0,0,0,dense1,WT_CIFAR_IMP65_7
0,0,0,dense2,WT_CIFAR_IMP65_7
0,0,0,dense1,WT_CIFAR_IMP65_8
0,0,0,dense2,WT_CIFAR_IMP65_8
0,0,0,dense1,WT_CIFAR_IMP65_9
0,0,0,dense2,WT_CIFAR_IMP65_9
