,variable,hypothesis,accepted_kl,p-value_kl,accepted_jsd,p-value_jsd,accepted_wsd,p-value_wsd,accepted_hd,p-value_hd,accepted_bd,p-value_bd,accepted_hc,p-value_hc,accepted_hi,p-value_hi
0,prune_rate_in,H1,True,7.998345869106204e-42,True,6.092505905407129e-31,True,2.041633010660126e-118,True,1.7428753819006786e-33,True,6.5490424365201435e-31,True,1.5832068157301248e-20,True,3.7023175915247593e-29
1,prune_rate_in,H2,True,8.296978148458102e-51,True,6.110272096936341e-44,True,8.645133506624046e-19,True,4.5213577032338785e-53,True,6.235871404356939e-42,True,1.7464805999215714e-22,True,9.994237055435388e-42
2,prune_rate_in,H3,False,0.2461235533654822,False,0.999932465323436,True,9.63003565878016e-94,False,0.9999459871880844,False,0.9973951593327968,False,0.9999999999999264,False,0.9999998753696604
3,prune_rate_in,H4,True,2.9482735116711055e-50,True,2.455822286858221e-64,True,6.47848102729029e-19,True,5.007105900125676e-65,True,1.7317605314001102e-62,True,1.4730415992049025e-62,True,1.874312378937952e-64
4,prune_rate_out,H1,True,5.244927481662644e-11,True,9.067776552189832e-13,True,4.315989933857725e-07,True,2.4527858205450018e-11,True,1.7718783957128568e-12,True,0.0112107548924207,True,2.242695888325441e-06
5,prune_rate_out,H2,True,2.1160720443147804e-17,True,1.95725909604654e-16,True,6.425582204146893e-09,True,7.206852456260178e-10,True,6.73335471664005e-13,True,6.517978981241469e-11,True,1.6146599387242366e-11
6,prune_rate_out,H3,False,0.9417273218962562,False,0.8120880859483481,False,0.5677962943184827,False,0.6106684295260163,False,0.5697354462650541,False,0.9999999998767264,False,0.999874138423867
7,prune_rate_out,H4,True,1.467926987596153e-13,True,3.5043447582133795e-14,True,2.458836065826777e-07,True,3.9996142369229e-12,True,1.1681494685010565e-12,True,4.2108490741921633e-13,True,4.585933501402055e-13
8,sign_rate_in,H1,False,0.6597074668129594,True,4.0892675714221047e-26,True,1.5025543517669294e-18,True,1.924143139133002e-25,True,6.0448857770422886e-27,False,0.2488103282913218,True,4.075449794149353e-27
9,sign_rate_in,H2,False,0.9990705595990498,True,2.1132433654417365e-33,True,0.0119545064304104,True,3.5942902440245396e-32,True,4.607733613579527e-41,True,1.6367743814448323e-06,True,2.7420691502134347e-29
10,sign_rate_in,H3,True,2.972891346636014e-07,False,0.5509142611511811,True,5.865907028215944e-22,False,0.5898453577083609,False,0.4478156691041892,False,0.9998488895075188,False,0.4261073048691678
11,sign_rate_in,H4,False,0.9999931739458914,True,5.326048089020163e-29,False,0.1316902331306931,True,2.4999794573748886e-28,True,6.672407237100544e-31,True,3.621776109747626e-05,True,7.07042668029583e-29
12,sign_rate_out,H1,False,0.1978068489562415,True,6.50836432283914e-17,True,4.974137939045955e-12,True,2.686112812922869e-16,True,2.2852388103418697e-17,True,2.759176339465774e-10,True,1.7343042997808482e-09
13,sign_rate_out,H2,False,0.9502114065478072,True,4.820891820096798e-05,True,0.0086813047859615,True,0.0006338590454763,True,0.0003444543576743,False,0.2246432062871421,True,0.002224428803876
14,sign_rate_out,H3,False,0.8967117478544316,True,3.459056001826025e-13,True,4.17378821914265e-14,True,5.5794472002544263e-14,True,6.01282263122389e-14,True,3.9982622317329854e-05,True,2.4481441141346804e-06
15,sign_rate_out,H4,True,0.0279924668332324,True,0.0025929884067788,False,0.3676683982590797,True,0.0034104571775656,True,0.0032732620339473,True,0.0018283856368202,True,0.0090875075042256
