,mean,std,layer,variable,distance_measure
CIFAR,0.04277922842098435,0.04233389662551769,dense1,prune_rate_in,kl_divergence
CINIC,0.01586480238151734,0.03436601652436177,dense1,prune_rate_in,kl_divergence
SVHN,0.01976686946896755,0.06315516108313696,dense1,prune_rate_in,kl_divergence
RSN,0.20931034920516417,0.047393201454314644,dense1,prune_rate_in,kl_divergence
RSN_CIFAR,0.11793661940717769,0.04668883232626674,dense1,prune_rate_in,kl_divergence
RSN_CINIC,0.0780414036258423,0.04674424273519513,dense1,prune_rate_in,kl_divergence
RSN_SVHN,0.08333119041070045,0.04720687624381595,dense1,prune_rate_in,kl_divergence
CIFAR_SVHN,-0.02958140157632202,0.01709596911924922,dense1,prune_rate_in,kl_divergence
CINIC_CIFAR,0.2730653494217607,0.11469314089488637,dense1,prune_rate_in,kl_divergence
SVHN_CINIC,-0.03393174591773536,0.0333368906047134,dense1,prune_rate_in,kl_divergence
within_WTs,0.02613696675715641,0.04961456990440798,dense1,prune_rate_in,kl_divergence
within_conditions,0.07193031236915837,0.09326748926149254,dense1,prune_rate_in,kl_divergence
between_WTs_and_RSN,0.0931030711479068,0.05010791374094176,dense1,prune_rate_in,kl_divergence
between_WT_datasets,0.0698507339759011,0.15969958218251387,dense1,prune_rate_in,kl_divergence
CIFAR,0.17072930206200934,0.04266791636260252,dense1,prune_rate_out,kl_divergence
CINIC,0.1761121442459014,0.05247048022505404,dense1,prune_rate_out,kl_divergence
SVHN,0.19287456481572715,0.04672207626844256,dense1,prune_rate_out,kl_divergence
RSN,0.11287164447757725,0.02603846043013538,dense1,prune_rate_out,kl_divergence
RSN_CIFAR,0.4524772051598095,0.07036985804796504,dense1,prune_rate_out,kl_divergence
RSN_CINIC,0.7022212418628344,0.0881991793036965,dense1,prune_rate_out,kl_divergence
RSN_SVHN,0.4074966420106809,0.06703801413585031,dense1,prune_rate_out,kl_divergence
CIFAR_SVHN,0.1877206355103181,0.0488402840348898,dense1,prune_rate_out,kl_divergence
CINIC_CIFAR,0.20291438006295576,0.0889084362272795,dense1,prune_rate_out,kl_divergence
SVHN_CINIC,0.3428275352065349,0.0652900583268762,dense1,prune_rate_out,kl_divergence
within_WTs,0.17990533704121264,0.04838540961625104,dense1,prune_rate_out,kl_divergence
within_conditions,0.1631469139003038,0.052610792540138354,dense1,prune_rate_out,kl_divergence
between_WTs_and_RSN,0.5207316963444416,0.15016037617619638,dense1,prune_rate_out,kl_divergence
between_WT_datasets,0.24448751692660295,0.09861446618528691,dense1,prune_rate_out,kl_divergence
CIFAR,0.026976943915721474,0.03753954414878971,dense1,sign_rate_in,kl_divergence
CINIC,0.01565020979824384,0.03810421358852419,dense1,sign_rate_in,kl_divergence
SVHN,0.010275771318092656,0.05619416911640542,dense1,sign_rate_in,kl_divergence
RSN,0.0011308159253993293,0.00804999452875548,dense1,sign_rate_in,kl_divergence
RSN_CIFAR,0.005241070627155222,0.009393463226957357,dense1,sign_rate_in,kl_divergence
RSN_CINIC,0.006346058921449088,0.010204834625922726,dense1,sign_rate_in,kl_divergence
RSN_SVHN,0.007165588359704811,0.010129163582112697,dense1,sign_rate_in,kl_divergence
CIFAR_SVHN,-0.04414483807861033,0.01431426904497267,dense1,sign_rate_in,kl_divergence
CINIC_CIFAR,0.2547346087549518,0.11190715120867106,dense1,sign_rate_in,kl_divergence
SVHN_CINIC,-0.028449933215950636,0.03403307514519314,dense1,sign_rate_in,kl_divergence
within_WTs,0.017634308344019325,0.045329543950970476,dense1,sign_rate_in,kl_divergence
within_conditions,0.013508435239364326,0.040104173794103,dense1,sign_rate_in,kl_divergence
between_WTs_and_RSN,0.006250905969436375,0.009947214373711093,dense1,sign_rate_in,kl_divergence
between_WT_datasets,0.06071327915346361,0.15327093497419153,dense1,sign_rate_in,kl_divergence
CIFAR,0.019513377861556158,0.02573849543225776,dense1,sign_rate_out,kl_divergence
CINIC,0.01475750605728931,0.013523094913889613,dense1,sign_rate_out,kl_divergence
SVHN,0.026010578190514142,0.017572957541610718,dense1,sign_rate_out,kl_divergence
RSN,0.05449730963181122,0.029423688274373593,dense1,sign_rate_out,kl_divergence
RSN_CIFAR,0.04761638015081649,0.02957428399896791,dense1,sign_rate_out,kl_divergence
RSN_CINIC,0.05164488807882452,0.0206295030288389,dense1,sign_rate_out,kl_divergence
RSN_SVHN,0.05209871307746728,0.026096746584072725,dense1,sign_rate_out,kl_divergence
CIFAR_SVHN,0.0360782052888324,0.02875502990541926,dense1,sign_rate_out,kl_divergence
CINIC_CIFAR,0.005026504483458102,0.0166483399398924,dense1,sign_rate_out,kl_divergence
SVHN_CINIC,0.026561538947394395,0.017000289354925605,dense1,sign_rate_out,kl_divergence
within_WTs,0.02009382070311987,0.02014922882711179,dense1,sign_rate_out,kl_divergence
