,variable,hypothesis,accepted_jsd,p-value_jsd,accepted_wsd,p-value_wsd,accepted_hd,p-value_hd,accepted_tv,p-value_tv,accepted_chi2,p-value_chi2,accepted_hc,p-value_hc,accepted_hi,p-value_hi
0,prune_rate_in,H1,True,5.04408133604e-60,True,3.650762456930979e-241,True,1.752983243831805e-60,True,6.1337178073587295e-71,True,6.634504626087152e-60,True,1.93399745135418e-43,True,1.3822282026413073e-58
1,prune_rate_in,H2,True,6.149315399404774e-96,True,1.6950324690695295e-37,True,1.006786420084079e-117,True,6.15315490457546e-21,True,6.285968533831199e-96,True,9.619787823393304e-69,True,2.4181941193273065e-94
2,prune_rate_in,H3,True,1.0013927541786068e-141,True,8.911144012871212e-49,True,2.249688299636265e-144,True,2.001313840834934e-71,True,3.801158966655613e-143,True,3.4998981126878445e-141,True,1.0123171486968021e-143
3,prune_rate_in,H4,False,0.999999999885276,True,1.6977337648821523e-170,False,0.9999999999991512,True,0.0182744365401666,False,0.9999999999940904,False,1.0,False,0.9999999999999916
4,prune_rate_out,H1,True,2.6401683075454937e-36,True,1.340812087025432e-40,True,4.7909664317914997e-32,True,4.777471931522403e-11,True,6.31114876540316e-36,True,0.0215641739216934,True,2.3604931830776178e-15
5,prune_rate_out,H2,True,1.1631310802039628e-32,True,4.017159840490031e-06,True,6.069010522109315e-24,True,1.335403561398276e-16,True,2.755000176470325e-33,True,3.4134273427836398e-09,True,9.22315902997941e-18
6,prune_rate_out,H3,True,1.4687429927600496e-21,True,1.429570296086679e-12,True,1.9106013243127575e-18,True,1.2697906095321285e-19,True,2.4751154948301336e-23,True,6.214659563954118e-17,True,9.433085771363678e-20
7,prune_rate_out,H4,True,0.0001722563463895,True,8.257602374734238e-17,True,5.649010123412322e-06,False,0.999915721260038,True,0.0042232070718056,False,1.0,False,0.982727663509488
8,sign_rate_in,H1,True,1.175078057632823e-59,True,1.4256911344768723e-55,True,1.7767336672352133e-58,False,0.0555466766858091,True,3.9978199419867856e-60,False,0.1215940463859215,True,3.188267785935472e-61
9,sign_rate_in,H2,True,1.3049612506812302e-58,True,7.533876261375607e-17,True,6.659279962483501e-56,False,0.167609139221279,True,9.714809723217333e-59,True,2.491400891538098e-16,True,6.082273951803783e-57
10,sign_rate_in,H3,True,2.1841951466185976e-65,True,0.0030758246855786,True,8.211516913077334e-64,False,0.2928194615910418,True,1.015239504124142e-65,True,9.83461838730814e-09,True,1.8198016867656385e-65
11,sign_rate_in,H4,False,0.5505557320475273,True,9.148832455835546e-58,False,0.583225007928582,False,0.0832056887396026,False,0.5350046364160238,False,0.9999999381936036,False,0.425910154603965
12,sign_rate_out,H1,True,5.459880662396462e-13,True,1.4374595701522162e-11,True,5.198085435146163e-12,False,0.0718968251217258,True,9.242268316843597e-13,True,0.000616141746673,True,1.586152899734956e-07
13,sign_rate_out,H2,True,5.647478787071629e-15,True,5.6379959539439555e-15,True,1.1146660949810754e-15,True,1.0746465202469737e-07,True,2.049263973277367e-13,True,0.0003450777951663,True,1.2319032569826911e-09
14,sign_rate_out,H3,True,0.0005992017018451,False,0.1636915301226057,True,0.0010515124764896,False,0.2272777294029999,True,0.0004971942989337,True,0.0164418248839137,True,0.0098643473346188
15,sign_rate_out,H4,True,3.438581340479727e-07,True,8.456068648982794e-12,True,5.479551297325332e-07,False,0.1770806943659686,True,8.804455116228285e-07,False,0.0966316447357421,True,0.0002124329860485
