test loss,training loss,test accuracy,training accuracy,model_nr,Sparsity,epochs,dataset
1.571122,1.7736956,0.43268475,0.36662665,0,RSN,0,CIFAR
1.3665838,1.4536227,0.50613767,0.47955632,0,RSN,1,CIFAR
1.2731225,1.3124393,0.54051906,0.52913696,0,RSN,2,CIFAR
1.2327888,1.2201531,0.55578846,0.56622756,0,RSN,3,CIFAR
1.1903743,1.1483626,0.57000995,0.5927461,0,RSN,4,CIFAR
1.5022439,1.7433631,0.450549,0.37695843,1,RSN,0,CIFAR
1.3449504,1.413909,0.51147693,0.49292588,1,RSN,1,CIFAR
1.2691833,1.2860425,0.5365269,0.54124725,1,RSN,2,CIFAR
1.1891601,1.1963919,0.57285446,0.57218283,1,RSN,3,CIFAR
1.1584173,1.1223263,0.5865269,0.6027576,1,RSN,4,CIFAR
1.5271766,1.7517354,0.45503992,0.37406048,2,RSN,0,CIFAR
1.3636531,1.4416512,0.51102793,0.48351347,2,RSN,1,CIFAR
1.2721277,1.3093231,0.54026943,0.531895,2,RSN,2,CIFAR
1.2148278,1.2188859,0.56287396,0.56512856,2,RSN,3,CIFAR
1.1599361,1.1492779,0.5884732,0.5914271,2,RSN,4,CIFAR
1.5096884,1.7457371,0.4525949,0.37408063,3,RSN,0,CIFAR
1.3643273,1.4338996,0.5103293,0.48539162,3,RSN,1,CIFAR
1.2770802,1.3057877,0.53857297,0.5342928,3,RSN,2,CIFAR
1.2085751,1.2119972,0.5686626,0.569045,3,RSN,3,CIFAR
1.1702245,1.136199,0.5807385,0.59768164,3,RSN,4,CIFAR
1.5300237,1.7592745,0.4472057,0.36950424,4,RSN,0,CIFAR
1.358151,1.4266523,0.50603807,0.48824945,4,RSN,1,CIFAR
1.2614117,1.2851127,0.5457586,0.5408278,4,RSN,2,CIFAR
1.1985049,1.1934166,0.5727047,0.5741811,4,RSN,3,CIFAR
1.165963,1.1195045,0.5868764,0.6031572,4,RSN,4,CIFAR
1.5525683,1.7663169,0.44061896,0.36708605,5,RSN,0,CIFAR
1.3901216,1.4570202,0.5028445,0.47669858,5,RSN,1,CIFAR
1.3086338,1.3311987,0.5298903,0.5217229,5,RSN,2,CIFAR
1.2535849,1.2370552,0.54885226,0.55879354,5,RSN,3,CIFAR
1.2328233,1.1573051,0.56227535,0.5884895,5,RSN,4,CIFAR
1.522506,1.7508318,0.45129755,0.37547943,6,RSN,0,CIFAR
1.3649819,1.4215659,0.502994,0.4876295,6,RSN,1,CIFAR
1.2995148,1.3021845,0.5238522,0.533973,6,RSN,2,CIFAR
1.2477583,1.2112365,0.5544911,0.5703243,6,RSN,3,CIFAR
1.1885074,1.1371622,0.57634723,0.5979821,6,RSN,4,CIFAR
1.5031843,1.7455039,0.45014977,0.37621874,7,RSN,0,CIFAR
1.3622197,1.4246594,0.5018464,0.4884294,7,RSN,1,CIFAR
1.2802038,1.3083276,0.53263485,0.5329141,7,RSN,2,CIFAR
1.219958,1.2143245,0.56626743,0.5662875,7,RSN,3,CIFAR
1.1665312,1.1349832,0.57904184,0.5947645,7,RSN,4,CIFAR
1.5316398,1.7514142,0.44406196,0.3726416,8,RSN,0,CIFAR
1.3979555,1.4468373,0.49980062,0.48039594,8,RSN,1,CIFAR
1.3257893,1.3281928,0.5267466,0.52561975,8,RSN,2,CIFAR
1.231527,1.2375314,0.5576348,0.56173116,8,RSN,3,CIFAR
1.1866425,1.1587467,0.5783432,0.5878101,8,RSN,4,CIFAR
1.5600615,1.7651494,0.44401202,0.37096283,9,RSN,0,CIFAR
1.4076649,1.4689798,0.4876247,0.4756593,9,RSN,1,CIFAR
1.2838026,1.3269771,0.5366267,0.52346146,9,RSN,2,CIFAR
1.212394,1.2239158,0.5595809,0.5648681,9,RSN,3,CIFAR
1.1511431,1.1416619,0.5848801,0.5938847,9,RSN,4,CIFAR
1.5044122,1.7426878,0.44630742,0.37667844,10,RSN,0,CIFAR
1.3405333,1.4161212,0.5145707,0.49082726,10,RSN,1,CIFAR
1.2688305,1.2970432,0.5399699,0.5365711,10,RSN,2,CIFAR
1.2287881,1.2119714,0.55693626,0.56708676,10,RSN,3,CIFAR
1.1749876,1.1432424,0.57909197,0.5944248,10,RSN,4,CIFAR
1.4966755,1.7566452,0.46017963,0.37028375,11,RSN,0,CIFAR
1.3749992,1.4374573,0.50404185,0.4833532,11,RSN,1,CIFAR
1.2944187,1.3253883,0.5343313,0.52591944,11,RSN,2,CIFAR
1.2410256,1.2373227,0.55119777,0.56019235,11,RSN,3,CIFAR
1.185333,1.1651056,0.5785429,0.5857719,11,RSN,4,CIFAR
1.5097059,1.7387737,0.45923153,0.3816146,12,RSN,0,CIFAR
1.3264632,1.4061509,0.52020967,0.4934851,12,RSN,1,CIFAR
1.2495741,1.2810872,0.5539921,0.5415471,12,RSN,2,CIFAR
1.2010974,1.1985209,0.5670658,0.5732619,12,RSN,3,CIFAR
1.1507739,1.1274285,0.59386253,0.59900105,12,RSN,4,CIFAR
1.5410041,1.7588946,0.44930148,0.37336102,13,RSN,0,CIFAR
1.381751,1.4605532,0.5062375,0.47919646,13,RSN,1,CIFAR
1.3134454,1.3337384,0.5290918,0.52556,13,RSN,2,CIFAR
1.2461804,1.236051,0.5485529,0.559253,13,RSN,3,CIFAR
1.1758798,1.1632347,0.5846308,0.58705074,13,RSN,4,CIFAR
1.4999819,1.7467046,0.45958084,0.37871677,14,RSN,0,CIFAR
1.3391874,1.4108489,0.5159181,0.49466443,14,RSN,1,CIFAR
1.2478864,1.2793863,0.5486526,0.5436653,14,RSN,2,CIFAR
1.2054964,1.1906193,0.5661677,0.5773985,14,RSN,3,CIFAR
1.1306167,1.1144077,0.5951599,0.6061153,14,RSN,4,CIFAR
