test loss,training loss,test accuracy,training accuracy,model_nr,Sparsity,epochs,dataset
1.0072508,1.2424932,0.6495,0.57426,0,WT(CINIC),0,CIFAR
0.90806496,0.8911097,0.682,0.69024,0,WT(CINIC),1,CIFAR
0.84925675,0.7667074,0.7037,0.73418,0,WT(CINIC),2,CIFAR
0.8353547,0.67741454,0.7104,0.76734,0,WT(CINIC),3,CIFAR
0.82418525,0.5985555,0.719,0.79612,0,WT(CINIC),4,CIFAR
1.023123,1.2521597,0.6411,0.5698,1,WT(CINIC),0,CIFAR
0.9104883,0.89412034,0.6815,0.6913,1,WT(CINIC),1,CIFAR
0.8738204,0.7702284,0.6963,0.73328,1,WT(CINIC),2,CIFAR
0.83728534,0.6792508,0.7138,0.76438,1,WT(CINIC),3,CIFAR
0.83705705,0.60010284,0.7122,0.79338,1,WT(CINIC),4,CIFAR
1.0284728,1.2421924,0.6412,0.57252,2,WT(CINIC),0,CIFAR
0.89684874,0.88775915,0.6876,0.6906,2,WT(CINIC),1,CIFAR
0.8668542,0.7572913,0.696,0.73794,2,WT(CINIC),2,CIFAR
0.83612734,0.66416615,0.7095,0.7707,2,WT(CINIC),3,CIFAR
0.83023846,0.5836571,0.7153,0.8003,2,WT(CINIC),4,CIFAR
1.023772,1.2456069,0.6355,0.5731,3,WT(CINIC),0,CIFAR
0.910304,0.88331515,0.681,0.69432,3,WT(CINIC),1,CIFAR
0.8637915,0.75443673,0.698,0.73944,3,WT(CINIC),2,CIFAR
0.83127546,0.66076124,0.7131,0.7725,3,WT(CINIC),3,CIFAR
0.82065713,0.57445943,0.7185,0.80202,3,WT(CINIC),4,CIFAR
1.0385752,1.2468071,0.6333,0.57346,4,WT(CINIC),0,CIFAR
0.90734065,0.89770675,0.6842,0.69102,4,WT(CINIC),1,CIFAR
0.88703054,0.7661339,0.69,0.73518,4,WT(CINIC),2,CIFAR
0.8370444,0.67745733,0.7088,0.76606,4,WT(CINIC),3,CIFAR
0.83322614,0.6000426,0.7174,0.79348,4,WT(CINIC),4,CIFAR
1.0135772,1.2340125,0.6483,0.57816,5,WT(CINIC),0,CIFAR
0.90212893,0.8752064,0.6837,0.69406,5,WT(CINIC),1,CIFAR
0.8723158,0.7511749,0.6968,0.73832,5,WT(CINIC),2,CIFAR
0.8513794,0.6639952,0.7096,0.76896,5,WT(CINIC),3,CIFAR
0.83460265,0.5887725,0.7181,0.79758,5,WT(CINIC),4,CIFAR
1.002505,1.2365447,0.6496,0.57522,6,WT(CINIC),0,CIFAR
0.89270765,0.8808986,0.6885,0.69502,6,WT(CINIC),1,CIFAR
0.8614967,0.7543734,0.7013,0.73892,6,WT(CINIC),2,CIFAR
0.8497704,0.6607318,0.7078,0.7735,6,WT(CINIC),3,CIFAR
0.8409575,0.5793506,0.7182,0.80148,6,WT(CINIC),4,CIFAR
0.9967442,1.2323984,0.65,0.57702,7,WT(CINIC),0,CIFAR
0.88415194,0.8805064,0.6918,0.69468,7,WT(CINIC),1,CIFAR
0.88139874,0.7594685,0.6941,0.7363,7,WT(CINIC),2,CIFAR
0.847778,0.66681445,0.7052,0.7702,7,WT(CINIC),3,CIFAR
0.84190273,0.5847221,0.7127,0.79958,7,WT(CINIC),4,CIFAR
0.9976498,1.243334,0.6535,0.57292,8,WT(CINIC),0,CIFAR
0.9125155,0.88287485,0.6828,0.69462,8,WT(CINIC),1,CIFAR
0.85062116,0.7564829,0.6996,0.73776,8,WT(CINIC),2,CIFAR
0.8281005,0.6646486,0.7105,0.77012,8,WT(CINIC),3,CIFAR
0.8247869,0.5864274,0.7179,0.79744,8,WT(CINIC),4,CIFAR
1.0490332,1.2588545,0.6302,0.56682,9,WT(CINIC),0,CIFAR
0.9099756,0.89614284,0.6845,0.68964,9,WT(CINIC),1,CIFAR
0.85453594,0.7665546,0.703,0.73486,9,WT(CINIC),2,CIFAR
0.84779805,0.6730987,0.7062,0.7664,9,WT(CINIC),3,CIFAR
0.8355442,0.59803337,0.7152,0.79374,9,WT(CINIC),4,CIFAR
0.9971378,1.2354178,0.6497,0.57766,10,WT(CINIC),0,CIFAR
0.9048566,0.88097197,0.6841,0.69508,10,WT(CINIC),1,CIFAR
0.8525719,0.754822,0.7023,0.73782,10,WT(CINIC),2,CIFAR
0.82743084,0.6619228,0.7146,0.77074,10,WT(CINIC),3,CIFAR
0.8410997,0.5815688,0.7146,0.80054,10,WT(CINIC),4,CIFAR
1.0132213,1.2423724,0.6484,0.57232,11,WT(CINIC),0,CIFAR
0.89428645,0.88151854,0.6881,0.69412,11,WT(CINIC),1,CIFAR
0.8488592,0.7585378,0.7075,0.7384,11,WT(CINIC),2,CIFAR
0.8228296,0.6651766,0.7132,0.77128,11,WT(CINIC),3,CIFAR
0.8228084,0.58811206,0.7169,0.79768,11,WT(CINIC),4,CIFAR
1.0237582,1.2378815,0.6452,0.57162,12,WT(CINIC),0,CIFAR
0.91143435,0.8823058,0.6802,0.69326,12,WT(CINIC),1,CIFAR
0.84497327,0.7569385,0.7061,0.73772,12,WT(CINIC),2,CIFAR
0.83458644,0.66241294,0.7115,0.77022,12,WT(CINIC),3,CIFAR
0.8193993,0.58488494,0.7176,0.79938,12,WT(CINIC),4,CIFAR
1.0217023,1.2505707,0.6375,0.57,13,WT(CINIC),0,CIFAR
0.89872724,0.89380515,0.6894,0.69096,13,WT(CINIC),1,CIFAR
0.868673,0.770662,0.6999,0.73376,13,WT(CINIC),2,CIFAR
0.8377331,0.6817496,0.7137,0.76414,13,WT(CINIC),3,CIFAR
0.8435175,0.6051027,0.7116,0.79164,13,WT(CINIC),4,CIFAR
1.0464299,1.2452106,0.6325,0.57062,14,WT(CINIC),0,CIFAR
0.9161678,0.8909996,0.6835,0.6902,14,WT(CINIC),1,CIFAR
0.870666,0.76870936,0.6974,0.73256,14,WT(CINIC),2,CIFAR
0.8212597,0.6766575,0.7164,0.76736,14,WT(CINIC),3,CIFAR
0.84573704,0.6002212,0.7125,0.79388,14,WT(CINIC),4,CIFAR
