test loss,training loss,test accuracy,training accuracy,model_nr,Sparsity,epochs,dataset
0.9272157,0.997461,0.67130744,0.6765182,0,WT,0,CIFAR
0.92576164,0.49804038,0.6973553,0.8420876,0,WT,1,CIFAR
1.0392913,0.26809183,0.696507,0.92688125,0,WT,2,CIFAR
1.1767608,0.14251596,0.69915164,0.96744895,0,WT,3,CIFAR
1.3160273,0.078677215,0.7021454,0.98583305,0,WT,4,CIFAR
0.91102403,0.9913182,0.6863772,0.6797159,1,WT,0,CIFAR
0.90805644,0.50295967,0.69765455,0.84124845,1,WT,1,CIFAR
0.9846704,0.2785134,0.7066367,0.9225648,1,WT,2,CIFAR
1.1324205,0.1532083,0.7020956,0.96455145,1,WT,3,CIFAR
1.3119597,0.08557953,0.70024943,0.984834,1,WT,4,CIFAR
0.9239246,0.98991305,0.67999,0.68197364,2,WT,0,CIFAR
0.91906816,0.48410267,0.6986527,0.8478236,2,WT,1,CIFAR
1.0160042,0.25866035,0.7063871,0.9296792,2,WT,2,CIFAR
1.1988308,0.1353547,0.7001994,0.9708062,2,WT,3,CIFAR
1.3623861,0.07649572,0.70009977,0.98655236,2,WT,4,CIFAR
0.9125721,1.0074973,0.68098783,0.67370087,3,WT,0,CIFAR
0.91231024,0.5074672,0.6943612,0.83876973,3,WT,1,CIFAR
1.0014954,0.28274983,0.7014967,0.91968733,3,WT,2,CIFAR
1.1761996,0.1589097,0.6945606,0.96273285,3,WT,3,CIFAR
1.3145357,0.09117943,0.6947603,0.98233646,3,WT,4,CIFAR
0.90615684,0.99395937,0.68822354,0.67779756,4,WT,0,CIFAR
0.8972737,0.5108769,0.7049898,0.83691114,4,WT,1,CIFAR
0.99588406,0.29229987,0.70134723,0.91621023,4,WT,2,CIFAR
1.1190825,0.16927683,0.7043913,0.9579368,4,WT,3,CIFAR
1.2817445,0.09913307,0.70069844,0.9794187,4,WT,4,CIFAR
0.88693905,0.97174174,0.69306386,0.6864503,5,WT,0,CIFAR
0.89583164,0.47595796,0.7017965,0.84924227,5,WT,1,CIFAR
1.0103031,0.25397348,0.7066863,0.9307784,5,WT,2,CIFAR
1.1686237,0.13643326,0.7046905,0.9697071,5,WT,3,CIFAR
1.3330374,0.07484917,0.7013971,0.987092,5,WT,4,CIFAR
0.9460204,0.9918893,0.67519945,0.6784966,6,WT,0,CIFAR
0.90959597,0.5074597,0.701447,0.8379504,6,WT,1,CIFAR
1.006589,0.2813487,0.7006986,0.9205865,6,WT,2,CIFAR
1.1575466,0.15567672,0.69421184,0.96331245,6,WT,3,CIFAR
1.333512,0.08868266,0.69640714,0.9830557,6,WT,4,CIFAR
0.9120669,0.9831293,0.6826844,0.6828533,7,WT,0,CIFAR
0.88547707,0.49186504,0.70249504,0.8429267,7,WT,1,CIFAR
0.9923221,0.26631638,0.7042915,0.92770106,7,WT,2,CIFAR
1.1652975,0.14692156,0.69755477,0.9667494,7,WT,3,CIFAR
1.3124117,0.08313819,0.7012476,0.9848139,7,WT,4,CIFAR
0.933909,1.0049083,0.6770458,0.6740802,8,WT,0,CIFAR
0.90679806,0.5045095,0.7011976,0.8404092,8,WT,1,CIFAR
1.0219363,0.27792132,0.6996007,0.9232646,8,WT,2,CIFAR
1.1821722,0.15260287,0.6969062,0.96445173,8,WT,3,CIFAR
1.33363,0.08741968,0.7000498,0.9830756,8,WT,4,CIFAR
0.9148261,1.0005746,0.6839819,0.6787364,9,WT,0,CIFAR
0.8950287,0.5077273,0.7065367,0.83649105,9,WT,1,CIFAR
0.9641722,0.29017052,0.71092784,0.91660994,9,WT,2,CIFAR
1.0920088,0.164289,0.7112277,0.9605347,9,WT,3,CIFAR
1.31979,0.09601896,0.7006985,0.9799782,9,WT,4,CIFAR
0.92062294,0.99259776,0.67998976,0.6790164,10,WT,0,CIFAR
0.90055794,0.49877235,0.6997003,0.8412084,10,WT,1,CIFAR
1.0087943,0.2755771,0.70364255,0.9232442,10,WT,2,CIFAR
1.167313,0.15232554,0.7007985,0.9647107,10,WT,3,CIFAR
1.3573443,0.08809318,0.6954593,0.98329556,10,WT,4,CIFAR
0.914029,0.9823131,0.6836326,0.680715,11,WT,0,CIFAR
0.9090126,0.47922593,0.70129746,0.84994215,11,WT,1,CIFAR
1.0311116,0.25375372,0.69865257,0.9309182,11,WT,2,CIFAR
1.2131997,0.13204211,0.6967066,0.97200483,11,WT,3,CIFAR
1.3676567,0.07207853,0.6957584,0.9880308,11,WT,4,CIFAR
0.92773604,0.9924746,0.67774427,0.6787568,12,WT,0,CIFAR
0.9188803,0.50132823,0.6969561,0.84174836,12,WT,1,CIFAR
1.0060877,0.2715925,0.70049894,0.9249429,12,WT,2,CIFAR
1.1573422,0.14686887,0.6987024,0.9677089,12,WT,3,CIFAR
1.3360496,0.08403731,0.6976545,0.9840546,12,WT,4,CIFAR
0.92649287,1.0094887,0.6761976,0.67158234,13,WT,0,CIFAR
0.8727324,0.52047604,0.7041916,0.83199495,13,WT,1,CIFAR
0.9730086,0.29402536,0.7057385,0.9147718,13,WT,2,CIFAR
1.1060373,0.16844594,0.70803356,0.9585963,13,WT,3,CIFAR
1.2639059,0.09688247,0.7033432,0.9808972,13,WT,4,CIFAR
0.9298481,0.978887,0.6793912,0.6853113,14,WT,0,CIFAR
0.90854764,0.48984993,0.70294416,0.84670377,14,WT,1,CIFAR
1.0343308,0.26418447,0.6961076,0.92816067,14,WT,2,CIFAR
1.1974626,0.14318152,0.7005487,0.967449,14,WT,3,CIFAR
1.370891,0.07939001,0.6987523,0.98637265,14,WT,4,CIFAR
