test loss,training loss,test accuracy,training accuracy,model_nr,Sparsity,epochs,dataset
1.1375437,1.3822519,0.59406203,0.50605565,0,original,0,CIFAR
0.99335283,1.0052844,0.6514471,0.64558387,0,original,1,CIFAR
0.9070586,0.8353996,0.68837327,0.7096927,0,original,2,CIFAR
0.90796953,0.7080855,0.686028,0.7522774,0,original,3,CIFAR
0.8830755,0.58765864,0.7048901,0.7981397,0,original,4,CIFAR
1.1807411,1.4194807,0.578094,0.4937249,1,original,0,CIFAR
0.9981378,1.03828,0.64645696,0.6339925,1,original,1,CIFAR
0.92337227,0.8558637,0.67634726,0.70079994,1,original,2,CIFAR
0.9102505,0.7163146,0.6915669,0.75079894,1,original,3,CIFAR
0.92985654,0.5895023,0.6918163,0.79612136,1,original,4,CIFAR
1.1354257,1.3975861,0.5956587,0.5019983,2,original,0,CIFAR
1.03216,1.0042177,0.63842314,0.6464233,2,original,1,CIFAR
0.9037497,0.8164063,0.6895207,0.7153475,2,original,2,CIFAR
0.892629,0.67536086,0.7004491,0.7654268,2,original,3,CIFAR
0.90778655,0.5447311,0.70189625,0.81274885,2,original,4,CIFAR
1.1932027,1.4117477,0.5734532,0.49486426,3,original,0,CIFAR
0.991594,1.0349194,0.65374243,0.63421255,3,original,1,CIFAR
0.9308081,0.847714,0.6769962,0.7063951,3,original,2,CIFAR
0.88748604,0.70713264,0.69895184,0.7535365,3,original,3,CIFAR
0.9124536,0.57855684,0.6986527,0.80095756,3,original,4,CIFAR
1.1636893,1.4110689,0.58517957,0.49530426,4,original,0,CIFAR
1.0193108,1.0412805,0.6434131,0.63361245,4,original,1,CIFAR
0.94344383,0.8502952,0.6680139,0.7023383,4,original,2,CIFAR
0.92846835,0.7062785,0.6838323,0.7557749,4,original,3,CIFAR
0.9062281,0.5795876,0.69655704,0.8014768,4,original,4,CIFAR
1.1448936,1.3928195,0.5906688,0.5036373,5,original,0,CIFAR
0.9718752,1.001513,0.65683633,0.6491008,5,original,1,CIFAR
0.9352281,0.8266195,0.67400193,0.71392906,5,original,2,CIFAR
0.93741935,0.6968213,0.6838323,0.7584328,5,original,3,CIFAR
0.94456077,0.57284147,0.6891717,0.80431485,5,original,4,CIFAR
1.1605039,1.4045638,0.5854294,0.49790218,6,original,0,CIFAR
0.98990303,1.0123537,0.6591317,0.64702266,6,original,1,CIFAR
0.9132453,0.83485436,0.68293405,0.7092329,6,original,2,CIFAR
0.93890136,0.6948199,0.68622744,0.76017106,6,original,3,CIFAR
0.9024354,0.5699275,0.69975036,0.804974,6,original,4,CIFAR
1.1656005,1.4121786,0.581936,0.4965431,7,original,0,CIFAR
1.0183443,1.0240306,0.6413672,0.63986826,7,original,1,CIFAR
0.9265554,0.8468165,0.6827345,0.7040367,7,original,2,CIFAR
0.8961044,0.71690357,0.6896208,0.7500393,7,original,3,CIFAR
0.9026659,0.59542614,0.70244485,0.79342425,7,original,4,CIFAR
1.1280632,1.3940277,0.60149693,0.49874178,8,original,0,CIFAR
0.9926625,1.0078077,0.6548903,0.6455232,8,original,1,CIFAR
0.9210506,0.82446545,0.68313354,0.71297,8,original,2,CIFAR
0.89866906,0.69204485,0.69476056,0.76256996,8,original,3,CIFAR
0.9103501,0.5659727,0.70249504,0.8052144,8,original,4,CIFAR
1.1704191,1.4007897,0.58867264,0.50113916,9,original,0,CIFAR
1.0033768,1.0130957,0.6420159,0.64212644,9,original,1,CIFAR
0.9635004,0.8325698,0.6616264,0.70983243,9,original,2,CIFAR
0.919021,0.69792014,0.69126725,0.75859195,9,original,3,CIFAR
0.9436203,0.5683232,0.69106776,0.8048145,9,original,4,CIFAR
1.1788641,1.4077551,0.5755988,0.49700263,10,original,0,CIFAR
0.9769397,1.0214524,0.65543926,0.6404673,10,original,1,CIFAR
0.97968954,0.84264964,0.66062886,0.7058757,10,original,2,CIFAR
0.91770744,0.7097264,0.6821854,0.7533566,10,original,3,CIFAR
0.9195945,0.58115935,0.6953592,0.8010378,10,original,4,CIFAR
1.1360867,1.3890526,0.59256476,0.50521636,11,original,0,CIFAR
0.97551143,1.0092317,0.6598302,0.64396465,11,original,1,CIFAR
0.9153109,0.83462745,0.68213576,0.70891327,11,original,2,CIFAR
0.9076035,0.70152843,0.68827313,0.7569541,11,original,3,CIFAR
0.91479427,0.57152605,0.69720566,0.8039355,11,original,4,CIFAR
1.1708094,1.4201533,0.57984036,0.49126706,12,original,0,CIFAR
0.9967058,1.031539,0.64705575,0.6364713,12,original,1,CIFAR
0.95467246,0.8523925,0.66961074,0.70261765,12,original,2,CIFAR
0.9227246,0.71830565,0.6873753,0.7499196,12,original,3,CIFAR
0.9508001,0.5960686,0.6880737,0.7956622,12,original,4,CIFAR
1.1957564,1.4066597,0.57669646,0.49502403,13,original,0,CIFAR
1.0566586,1.0307813,0.63023955,0.63723046,13,original,1,CIFAR
0.94252664,0.85501164,0.67390215,0.70327747,13,original,2,CIFAR
0.90087557,0.7207639,0.6936624,0.75061864,13,original,3,CIFAR
0.9116596,0.59504545,0.6956586,0.7963813,13,original,4,CIFAR
1.2158463,1.4227222,0.5681137,0.48804966,14,original,0,CIFAR
1.0120523,1.038195,0.6429142,0.63119483,14,original,1,CIFAR
0.94244003,0.84830284,0.6727544,0.70203894,14,original,2,CIFAR
0.9064463,0.710048,0.6870756,0.7532365,14,original,3,CIFAR
0.9220034,0.57830787,0.68787414,0.7998385,14,original,4,CIFAR
0.9272157,0.997461,0.67130744,0.6765182,0,WT(CIFAR),0,CIFAR
0.92576164,0.49804038,0.6973553,0.8420876,0,WT(CIFAR),1,CIFAR
1.0392913,0.26809183,0.696507,0.92688125,0,WT(CIFAR),2,CIFAR
1.1767608,0.14251596,0.69915164,0.96744895,0,WT(CIFAR),3,CIFAR
1.3160273,0.078677215,0.7021454,0.98583305,0,WT(CIFAR),4,CIFAR
0.91102403,0.9913182,0.6863772,0.6797159,1,WT(CIFAR),0,CIFAR
0.90805644,0.50295967,0.69765455,0.84124845,1,WT(CIFAR),1,CIFAR
0.9846704,0.2785134,0.7066367,0.9225648,1,WT(CIFAR),2,CIFAR
1.1324205,0.1532083,0.7020956,0.96455145,1,WT(CIFAR),3,CIFAR
1.3119597,0.08557953,0.70024943,0.984834,1,WT(CIFAR),4,CIFAR
0.9239246,0.98991305,0.67999,0.68197364,2,WT(CIFAR),0,CIFAR
0.91906816,0.48410267,0.6986527,0.8478236,2,WT(CIFAR),1,CIFAR
1.0160042,0.25866035,0.7063871,0.9296792,2,WT(CIFAR),2,CIFAR
1.1988308,0.1353547,0.7001994,0.9708062,2,WT(CIFAR),3,CIFAR
1.3623861,0.07649572,0.70009977,0.98655236,2,WT(CIFAR),4,CIFAR
0.9125721,1.0074973,0.68098783,0.67370087,3,WT(CIFAR),0,CIFAR
0.91231024,0.5074672,0.6943612,0.83876973,3,WT(CIFAR),1,CIFAR
1.0014954,0.28274983,0.7014967,0.91968733,3,WT(CIFAR),2,CIFAR
1.1761996,0.1589097,0.6945606,0.96273285,3,WT(CIFAR),3,CIFAR
1.3145357,0.09117943,0.6947603,0.98233646,3,WT(CIFAR),4,CIFAR
0.90615684,0.99395937,0.68822354,0.67779756,4,WT(CIFAR),0,CIFAR
0.8972737,0.5108769,0.7049898,0.83691114,4,WT(CIFAR),1,CIFAR
0.99588406,0.29229987,0.70134723,0.91621023,4,WT(CIFAR),2,CIFAR
1.1190825,0.16927683,0.7043913,0.9579368,4,WT(CIFAR),3,CIFAR
1.2817445,0.09913307,0.70069844,0.9794187,4,WT(CIFAR),4,CIFAR
0.88693905,0.97174174,0.69306386,0.6864503,5,WT(CIFAR),0,CIFAR
0.89583164,0.47595796,0.7017965,0.84924227,5,WT(CIFAR),1,CIFAR
1.0103031,0.25397348,0.7066863,0.9307784,5,WT(CIFAR),2,CIFAR
1.1686237,0.13643326,0.7046905,0.9697071,5,WT(CIFAR),3,CIFAR
1.3330374,0.07484917,0.7013971,0.987092,5,WT(CIFAR),4,CIFAR
0.9460204,0.9918893,0.67519945,0.6784966,6,WT(CIFAR),0,CIFAR
0.90959597,0.5074597,0.701447,0.8379504,6,WT(CIFAR),1,CIFAR
1.006589,0.2813487,0.7006986,0.9205865,6,WT(CIFAR),2,CIFAR
1.1575466,0.15567672,0.69421184,0.96331245,6,WT(CIFAR),3,CIFAR
1.333512,0.08868266,0.69640714,0.9830557,6,WT(CIFAR),4,CIFAR
0.9120669,0.9831293,0.6826844,0.6828533,7,WT(CIFAR),0,CIFAR
0.88547707,0.49186504,0.70249504,0.8429267,7,WT(CIFAR),1,CIFAR
0.9923221,0.26631638,0.7042915,0.92770106,7,WT(CIFAR),2,CIFAR
1.1652975,0.14692156,0.69755477,0.9667494,7,WT(CIFAR),3,CIFAR
1.3124117,0.08313819,0.7012476,0.9848139,7,WT(CIFAR),4,CIFAR
0.933909,1.0049083,0.6770458,0.6740802,8,WT(CIFAR),0,CIFAR
0.90679806,0.5045095,0.7011976,0.8404092,8,WT(CIFAR),1,CIFAR
1.0219363,0.27792132,0.6996007,0.9232646,8,WT(CIFAR),2,CIFAR
1.1821722,0.15260287,0.6969062,0.96445173,8,WT(CIFAR),3,CIFAR
1.33363,0.08741968,0.7000498,0.9830756,8,WT(CIFAR),4,CIFAR
0.9148261,1.0005746,0.6839819,0.6787364,9,WT(CIFAR),0,CIFAR
0.8950287,0.5077273,0.7065367,0.83649105,9,WT(CIFAR),1,CIFAR
0.9641722,0.29017052,0.71092784,0.91660994,9,WT(CIFAR),2,CIFAR
1.0920088,0.164289,0.7112277,0.9605347,9,WT(CIFAR),3,CIFAR
1.31979,0.09601896,0.7006985,0.9799782,9,WT(CIFAR),4,CIFAR
0.92062294,0.99259776,0.67998976,0.6790164,10,WT(CIFAR),0,CIFAR
0.90055794,0.49877235,0.6997003,0.8412084,10,WT(CIFAR),1,CIFAR
1.0087943,0.2755771,0.70364255,0.9232442,10,WT(CIFAR),2,CIFAR
1.167313,0.15232554,0.7007985,0.9647107,10,WT(CIFAR),3,CIFAR
1.3573443,0.08809318,0.6954593,0.98329556,10,WT(CIFAR),4,CIFAR
0.914029,0.9823131,0.6836326,0.680715,11,WT(CIFAR),0,CIFAR
0.9090126,0.47922593,0.70129746,0.84994215,11,WT(CIFAR),1,CIFAR
1.0311116,0.25375372,0.69865257,0.9309182,11,WT(CIFAR),2,CIFAR
1.2131997,0.13204211,0.6967066,0.97200483,11,WT(CIFAR),3,CIFAR
1.3676567,0.07207853,0.6957584,0.9880308,11,WT(CIFAR),4,CIFAR
0.92773604,0.9924746,0.67774427,0.6787568,12,WT(CIFAR),0,CIFAR
0.9188803,0.50132823,0.6969561,0.84174836,12,WT(CIFAR),1,CIFAR
1.0060877,0.2715925,0.70049894,0.9249429,12,WT(CIFAR),2,CIFAR
1.1573422,0.14686887,0.6987024,0.9677089,12,WT(CIFAR),3,CIFAR
1.3360496,0.08403731,0.6976545,0.9840546,12,WT(CIFAR),4,CIFAR
0.92649287,1.0094887,0.6761976,0.67158234,13,WT(CIFAR),0,CIFAR
0.8727324,0.52047604,0.7041916,0.83199495,13,WT(CIFAR),1,CIFAR
0.9730086,0.29402536,0.7057385,0.9147718,13,WT(CIFAR),2,CIFAR
1.1060373,0.16844594,0.70803356,0.9585963,13,WT(CIFAR),3,CIFAR
1.2639059,0.09688247,0.7033432,0.9808972,13,WT(CIFAR),4,CIFAR
0.9298481,0.978887,0.6793912,0.6853113,14,WT(CIFAR),0,CIFAR
0.90854764,0.48984993,0.70294416,0.84670377,14,WT(CIFAR),1,CIFAR
1.0343308,0.26418447,0.6961076,0.92816067,14,WT(CIFAR),2,CIFAR
1.1974626,0.14318152,0.7005487,0.967449,14,WT(CIFAR),3,CIFAR
1.370891,0.07939001,0.6987523,0.98637265,14,WT(CIFAR),4,CIFAR
1.571122,1.7736956,0.43268475,0.36662665,0,RSN,0,CIFAR
1.3665838,1.4536227,0.50613767,0.47955632,0,RSN,1,CIFAR
1.2731225,1.3124393,0.54051906,0.52913696,0,RSN,2,CIFAR
1.2327888,1.2201531,0.55578846,0.56622756,0,RSN,3,CIFAR
1.1903743,1.1483626,0.57000995,0.5927461,0,RSN,4,CIFAR
1.5022439,1.7433631,0.450549,0.37695843,1,RSN,0,CIFAR
1.3449504,1.413909,0.51147693,0.49292588,1,RSN,1,CIFAR
1.2691833,1.2860425,0.5365269,0.54124725,1,RSN,2,CIFAR
1.1891601,1.1963919,0.57285446,0.57218283,1,RSN,3,CIFAR
1.1584173,1.1223263,0.5865269,0.6027576,1,RSN,4,CIFAR
1.5271766,1.7517354,0.45503992,0.37406048,2,RSN,0,CIFAR
1.3636531,1.4416512,0.51102793,0.48351347,2,RSN,1,CIFAR
1.2721277,1.3093231,0.54026943,0.531895,2,RSN,2,CIFAR
1.2148278,1.2188859,0.56287396,0.56512856,2,RSN,3,CIFAR
1.1599361,1.1492779,0.5884732,0.5914271,2,RSN,4,CIFAR
1.5096884,1.7457371,0.4525949,0.37408063,3,RSN,0,CIFAR
1.3643273,1.4338996,0.5103293,0.48539162,3,RSN,1,CIFAR
1.2770802,1.3057877,0.53857297,0.5342928,3,RSN,2,CIFAR
1.2085751,1.2119972,0.5686626,0.569045,3,RSN,3,CIFAR
1.1702245,1.136199,0.5807385,0.59768164,3,RSN,4,CIFAR
1.5300237,1.7592745,0.4472057,0.36950424,4,RSN,0,CIFAR
1.358151,1.4266523,0.50603807,0.48824945,4,RSN,1,CIFAR
1.2614117,1.2851127,0.5457586,0.5408278,4,RSN,2,CIFAR
1.1985049,1.1934166,0.5727047,0.5741811,4,RSN,3,CIFAR
1.165963,1.1195045,0.5868764,0.6031572,4,RSN,4,CIFAR
1.5525683,1.7663169,0.44061896,0.36708605,5,RSN,0,CIFAR
1.3901216,1.4570202,0.5028445,0.47669858,5,RSN,1,CIFAR
1.3086338,1.3311987,0.5298903,0.5217229,5,RSN,2,CIFAR
1.2535849,1.2370552,0.54885226,0.55879354,5,RSN,3,CIFAR
1.2328233,1.1573051,0.56227535,0.5884895,5,RSN,4,CIFAR
1.522506,1.7508318,0.45129755,0.37547943,6,RSN,0,CIFAR
1.3649819,1.4215659,0.502994,0.4876295,6,RSN,1,CIFAR
1.2995148,1.3021845,0.5238522,0.533973,6,RSN,2,CIFAR
1.2477583,1.2112365,0.5544911,0.5703243,6,RSN,3,CIFAR
1.1885074,1.1371622,0.57634723,0.5979821,6,RSN,4,CIFAR
1.5031843,1.7455039,0.45014977,0.37621874,7,RSN,0,CIFAR
1.3622197,1.4246594,0.5018464,0.4884294,7,RSN,1,CIFAR
1.2802038,1.3083276,0.53263485,0.5329141,7,RSN,2,CIFAR
1.219958,1.2143245,0.56626743,0.5662875,7,RSN,3,CIFAR
1.1665312,1.1349832,0.57904184,0.5947645,7,RSN,4,CIFAR
1.5316398,1.7514142,0.44406196,0.3726416,8,RSN,0,CIFAR
1.3979555,1.4468373,0.49980062,0.48039594,8,RSN,1,CIFAR
1.3257893,1.3281928,0.5267466,0.52561975,8,RSN,2,CIFAR
1.231527,1.2375314,0.5576348,0.56173116,8,RSN,3,CIFAR
1.1866425,1.1587467,0.5783432,0.5878101,8,RSN,4,CIFAR
1.5600615,1.7651494,0.44401202,0.37096283,9,RSN,0,CIFAR
1.4076649,1.4689798,0.4876247,0.4756593,9,RSN,1,CIFAR
1.2838026,1.3269771,0.5366267,0.52346146,9,RSN,2,CIFAR
1.212394,1.2239158,0.5595809,0.5648681,9,RSN,3,CIFAR
1.1511431,1.1416619,0.5848801,0.5938847,9,RSN,4,CIFAR
1.5044122,1.7426878,0.44630742,0.37667844,10,RSN,0,CIFAR
1.3405333,1.4161212,0.5145707,0.49082726,10,RSN,1,CIFAR
1.2688305,1.2970432,0.5399699,0.5365711,10,RSN,2,CIFAR
1.2287881,1.2119714,0.55693626,0.56708676,10,RSN,3,CIFAR
1.1749876,1.1432424,0.57909197,0.5944248,10,RSN,4,CIFAR
1.4966755,1.7566452,0.46017963,0.37028375,11,RSN,0,CIFAR
1.3749992,1.4374573,0.50404185,0.4833532,11,RSN,1,CIFAR
1.2944187,1.3253883,0.5343313,0.52591944,11,RSN,2,CIFAR
1.2410256,1.2373227,0.55119777,0.56019235,11,RSN,3,CIFAR
1.185333,1.1651056,0.5785429,0.5857719,11,RSN,4,CIFAR
1.5097059,1.7387737,0.45923153,0.3816146,12,RSN,0,CIFAR
1.3264632,1.4061509,0.52020967,0.4934851,12,RSN,1,CIFAR
1.2495741,1.2810872,0.5539921,0.5415471,12,RSN,2,CIFAR
1.2010974,1.1985209,0.5670658,0.5732619,12,RSN,3,CIFAR
1.1507739,1.1274285,0.59386253,0.59900105,12,RSN,4,CIFAR
1.5410041,1.7588946,0.44930148,0.37336102,13,RSN,0,CIFAR
1.381751,1.4605532,0.5062375,0.47919646,13,RSN,1,CIFAR
1.3134454,1.3337384,0.5290918,0.52556,13,RSN,2,CIFAR
1.2461804,1.236051,0.5485529,0.559253,13,RSN,3,CIFAR
1.1758798,1.1632347,0.5846308,0.58705074,13,RSN,4,CIFAR
1.4999819,1.7467046,0.45958084,0.37871677,14,RSN,0,CIFAR
1.3391874,1.4108489,0.5159181,0.49466443,14,RSN,1,CIFAR
1.2478864,1.2793863,0.5486526,0.5436653,14,RSN,2,CIFAR
1.2054964,1.1906193,0.5661677,0.5773985,14,RSN,3,CIFAR
1.1306167,1.1144077,0.5951599,0.6061153,14,RSN,4,CIFAR
1.0072507858276367,1.2424931526184082,0.6495000123977661,0.5742599964141846,0,WT(CINIC),0,CIFAR
0.9080649614334106,0.8911097049713135,0.6819999814033508,0.6902400255203247,0,WT(CINIC),1,CIFAR
0.8492567539215088,0.7667074203491211,0.7037000060081482,0.7341799736022949,0,WT(CINIC),2,CIFAR
0.8353546857833862,0.6774145364761353,0.7103999853134155,0.7673400044441223,0,WT(CINIC),3,CIFAR
0.8241852521896362,0.5985555052757263,0.718999981880188,0.7961199879646301,0,WT(CINIC),4,CIFAR
1.023123025894165,1.2521597146987915,0.6410999894142151,0.5698000192642212,1,WT(CINIC),0,CIFAR
0.9104883074760437,0.8941203355789185,0.6815000176429749,0.6912999749183655,1,WT(CINIC),1,CIFAR
0.873820424079895,0.770228385925293,0.6963000297546387,0.7332800030708313,1,WT(CINIC),2,CIFAR
0.8372853398323059,0.6792507767677307,0.7138000130653381,0.7643799781799316,1,WT(CINIC),3,CIFAR
0.8370570540428162,0.6001028418540955,0.7121999859809875,0.7933800220489502,1,WT(CINIC),4,CIFAR
1.0284727811813354,1.2421923875808716,0.6412000060081482,0.5725200176239014,2,WT(CINIC),0,CIFAR
0.896848738193512,0.8877591490745544,0.6876000165939331,0.6905999779701233,2,WT(CINIC),1,CIFAR
0.866854190826416,0.757291316986084,0.6959999799728394,0.7379400134086609,2,WT(CINIC),2,CIFAR
0.8361273407936096,0.6641661524772644,0.7095000147819519,0.7706999778747559,2,WT(CINIC),3,CIFAR
0.8302384614944458,0.5836570858955383,0.7153000235557556,0.8003000020980835,2,WT(CINIC),4,CIFAR
1.0237720012664795,1.2456068992614746,0.6355000138282776,0.5730999708175659,3,WT(CINIC),0,CIFAR
0.9103040099143982,0.8833151459693909,0.6809999942779541,0.694320023059845,3,WT(CINIC),1,CIFAR
0.8637915253639221,0.754436731338501,0.6980000138282776,0.7394400238990784,3,WT(CINIC),2,CIFAR
0.831275463104248,0.6607612371444702,0.713100016117096,0.7724999785423279,3,WT(CINIC),3,CIFAR
0.8206571340560913,0.574459433555603,0.718500018119812,0.8020200133323669,3,WT(CINIC),4,CIFAR
1.0385751724243164,1.2468070983886719,0.6333000063896179,0.5734599828720093,4,WT(CINIC),0,CIFAR
0.9073406457901001,0.8977067470550537,0.6841999888420105,0.6910200119018555,4,WT(CINIC),1,CIFAR
0.8870305418968201,0.7661339044570923,0.6899999976158142,0.7351800203323364,4,WT(CINIC),2,CIFAR
0.8370444178581238,0.677457332611084,0.7088000178337097,0.7660599946975708,4,WT(CINIC),3,CIFAR
0.8332261443138123,0.6000425815582275,0.7174000144004822,0.7934799790382385,4,WT(CINIC),4,CIFAR
1.0135772228240967,1.234012484550476,0.6482999920845032,0.5781599879264832,5,WT(CINIC),0,CIFAR
0.9021289348602295,0.8752064108848572,0.6837000250816345,0.6940600275993347,5,WT(CINIC),1,CIFAR
0.8723158240318298,0.7511749267578125,0.6967999935150146,0.738319993019104,5,WT(CINIC),2,CIFAR
0.85137939453125,0.6639952063560486,0.7095999717712402,0.7689599990844727,5,WT(CINIC),3,CIFAR
0.8346026539802551,0.5887724757194519,0.7181000113487244,0.7975800037384033,5,WT(CINIC),4,CIFAR
1.0025049448013306,1.2365447282791138,0.6496000289916992,0.575219988822937,6,WT(CINIC),0,CIFAR
0.8927076458930969,0.8808985948562622,0.6884999871253967,0.6950200200080872,6,WT(CINIC),1,CIFAR
0.8614966869354248,0.7543733716011047,0.7013000249862671,0.7389199733734131,6,WT(CINIC),2,CIFAR
0.8497704267501831,0.6607317924499512,0.7077999711036682,0.7735000252723694,6,WT(CINIC),3,CIFAR
0.840957522392273,0.5793505907058716,0.7182000279426575,0.8014799952507019,6,WT(CINIC),4,CIFAR
0.9967442154884338,1.2323983907699585,0.6499999761581421,0.577019989490509,7,WT(CINIC),0,CIFAR
0.8841519355773926,0.8805063962936401,0.6917999982833862,0.6946799755096436,7,WT(CINIC),1,CIFAR
0.8813987374305725,0.7594684958457947,0.694100022315979,0.736299991607666,7,WT(CINIC),2,CIFAR
0.8477780222892761,0.6668144464492798,0.7052000164985657,0.7702000141143799,7,WT(CINIC),3,CIFAR
0.8419027328491211,0.584722101688385,0.7127000093460083,0.7995799779891968,7,WT(CINIC),4,CIFAR
0.9976497888565063,1.2433340549468994,0.6535000205039978,0.572920024394989,8,WT(CINIC),0,CIFAR
0.9125155210494995,0.8828748464584351,0.6827999949455261,0.6946200132369995,8,WT(CINIC),1,CIFAR
0.8506211638450623,0.7564828991889954,0.6995999813079834,0.7377600073814392,8,WT(CINIC),2,CIFAR
0.8281005024909973,0.6646485924720764,0.7105000019073486,0.7701200246810913,8,WT(CINIC),3,CIFAR
0.824786901473999,0.5864273905754089,0.7178999781608582,0.7974399924278259,8,WT(CINIC),4,CIFAR
1.0490331649780273,1.2588545083999634,0.6302000284194946,0.5668200254440308,9,WT(CINIC),0,CIFAR
0.9099755883216858,0.896142840385437,0.684499979019165,0.6896399855613708,9,WT(CINIC),1,CIFAR
0.8545359373092651,0.766554594039917,0.703000009059906,0.7348600029945374,9,WT(CINIC),2,CIFAR
0.8477980494499207,0.6730986833572388,0.7062000036239624,0.7663999795913696,9,WT(CINIC),3,CIFAR
0.835544228553772,0.5980333685874939,0.7152000069618225,0.7937399744987488,9,WT(CINIC),4,CIFAR
0.9971377849578857,1.2354178428649902,0.6496999859809875,0.5776600241661072,10,WT(CINIC),0,CIFAR
0.9048566222190857,0.8809719681739807,0.6840999722480774,0.6950799822807312,10,WT(CINIC),1,CIFAR
0.8525719046592712,0.7548220157623291,0.7023000121116638,0.737820029258728,10,WT(CINIC),2,CIFAR
0.8274308443069458,0.661922812461853,0.7146000266075134,0.7707399725914001,10,WT(CINIC),3,CIFAR
0.8410996794700623,0.5815687775611877,0.7146000266075134,0.8005399703979492,10,WT(CINIC),4,CIFAR
1.013221263885498,1.2423723936080933,0.6484000086784363,0.5723199844360352,11,WT(CINIC),0,CIFAR
0.8942864537239075,0.881518542766571,0.6880999803543091,0.6941199898719788,11,WT(CINIC),1,CIFAR
0.8488591909408569,0.7585378289222717,0.7074999809265137,0.7383999824523926,11,WT(CINIC),2,CIFAR
0.8228296041488647,0.6651765704154968,0.7131999731063843,0.7712799906730652,11,WT(CINIC),3,CIFAR
0.8228083848953247,0.5881120562553406,0.7168999910354614,0.7976800203323364,11,WT(CINIC),4,CIFAR
1.0237581729888916,1.2378815412521362,0.6452000141143799,0.571619987487793,12,WT(CINIC),0,CIFAR
0.9114343523979187,0.8823058009147644,0.6801999807357788,0.6932600140571594,12,WT(CINIC),1,CIFAR
0.8449732661247253,0.7569385170936584,0.7060999870300293,0.7377200126647949,12,WT(CINIC),2,CIFAR
0.8345864415168762,0.6624129414558411,0.7114999890327454,0.7702199816703796,12,WT(CINIC),3,CIFAR
0.8193992972373962,0.5848849415779114,0.7175999879837036,0.7993800044059753,12,WT(CINIC),4,CIFAR
1.0217022895812988,1.2505706548690796,0.637499988079071,0.5699999928474426,13,WT(CINIC),0,CIFAR
0.8987272381782532,0.8938051462173462,0.6894000172615051,0.6909599900245667,13,WT(CINIC),1,CIFAR
0.8686730265617371,0.7706620097160339,0.6998999714851379,0.7337599992752075,13,WT(CINIC),2,CIFAR
0.8377330899238586,0.6817495822906494,0.713699996471405,0.7641400098800659,13,WT(CINIC),3,CIFAR
0.8435174822807312,0.6051027178764343,0.7116000056266785,0.7916399836540222,13,WT(CINIC),4,CIFAR
1.0464298725128174,1.2452106475830078,0.6324999928474426,0.5706200003623962,14,WT(CINIC),0,CIFAR
0.9161677956581116,0.8909996151924133,0.6834999918937683,0.6901999711990356,14,WT(CINIC),1,CIFAR
0.8706660270690918,0.7687093615531921,0.6973999738693237,0.7325599789619446,14,WT(CINIC),2,CIFAR
0.8212596774101257,0.676657497882843,0.7164000272750854,0.7673599720001221,14,WT(CINIC),3,CIFAR
0.8457370400428772,0.6002212166786194,0.7124999761581421,0.7938799858093262,14,WT(CINIC),4,CIFAR
1.3369731903076172,1.5615270137786865,0.5213000178337097,0.4458000063896179,0,WT(SVHN),0,CIFAR
1.187166452407837,1.2027320861816406,0.5738999843597412,0.5765399932861328,0,WT(SVHN),1,CIFAR
1.1281975507736206,1.0676833391189575,0.6026999950408936,0.6266199946403503,0,WT(SVHN),2,CIFAR
1.064831256866455,0.9701879024505615,0.6262999773025513,0.6609600186347961,0,WT(SVHN),3,CIFAR
1.0350598096847534,0.8910465836524963,0.6399000287055969,0.6904600262641907,0,WT(SVHN),4,CIFAR
1.3040786981582642,1.5483076572418213,0.5404999852180481,0.45201998949050903,1,WT(SVHN),0,CIFAR
1.2043442726135254,1.2019777297973633,0.579200029373169,0.5784800052642822,1,WT(SVHN),1,CIFAR
1.1014677286148071,1.068686604499817,0.6093000173568726,0.6249399781227112,1,WT(SVHN),2,CIFAR
1.0568324327468872,0.9741784930229187,0.6256999969482422,0.6593599915504456,1,WT(SVHN),3,CIFAR
1.0234489440917969,0.8973595499992371,0.6396999955177307,0.6874600052833557,1,WT(SVHN),4,CIFAR
1.3302435874938965,1.5541609525680542,0.5306000113487244,0.44652000069618225,2,WT(SVHN),0,CIFAR
1.182720422744751,1.2016382217407227,0.5753999948501587,0.5788800120353699,2,WT(SVHN),1,CIFAR
1.0823365449905396,1.0626581907272339,0.6190999746322632,0.6269199848175049,2,WT(SVHN),2,CIFAR
1.0531177520751953,0.9645608067512512,0.6341000199317932,0.6625999808311462,2,WT(SVHN),3,CIFAR
1.0038217306137085,0.886781632900238,0.6496000289916992,0.6886799931526184,2,WT(SVHN),4,CIFAR
1.3362916707992554,1.5598376989364624,0.5206999778747559,0.446399986743927,3,WT(SVHN),0,CIFAR
