test loss,training loss,test accuracy,training accuracy,model_nr,Sparsity,epochs,dataset
1.7104115,1.8680567,0.36811465,0.30770954,0,RSN,0,CINIC
1.6167676,1.6532284,0.41054636,0.39357415,0,RSN,1,CINIC
1.5448084,1.5569141,0.43652037,0.43162426,0,RSN,2,CINIC
1.4765228,1.4797198,0.46596506,0.4622484,0,RSN,3,CINIC
1.4282732,1.4209244,0.48690104,0.48409086,0,RSN,4,CINIC
1.688845,1.850779,0.3744962,0.31446376,1,RSN,0,CINIC
1.5881592,1.625293,0.41446483,0.40326393,1,RSN,1,CINIC
1.5186942,1.528211,0.4442454,0.44222206,1,RSN,2,CINIC
1.4580884,1.4557612,0.4668607,0.4703585,1,RSN,3,CINIC
1.4118962,1.3987474,0.48522168,0.4932582,1,RSN,4,CINIC
1.6783327,1.8537675,0.38042992,0.31484938,2,RSN,0,CINIC
1.5765144,1.6205813,0.42689207,0.4051795,2,RSN,1,CINIC
1.5101306,1.5239297,0.44984326,0.4424335,2,RSN,2,CINIC
1.4569757,1.4588002,0.4721227,0.46754733,2,RSN,3,CINIC
1.4115714,1.4061806,0.489588,0.48948926,2,RSN,4,CINIC
1.699151,1.8633962,0.3731527,0.31114262,3,RSN,0,CINIC
1.5970192,1.6380136,0.4102105,0.3961614,3,RSN,1,CINIC
1.516032,1.5421442,0.4450291,0.43439808,3,RSN,2,CINIC
1.455396,1.4702841,0.46842813,0.4626589,3,RSN,3,CINIC
1.4112513,1.413236,0.48712495,0.48508596,3,RSN,4,CINIC
1.6959627,1.8605596,0.37012988,0.30947584,4,RSN,0,CINIC
1.5711472,1.6072612,0.42610836,0.40760505,4,RSN,1,CINIC
1.4945099,1.5053171,0.4567846,0.44893897,4,RSN,2,CINIC
1.4405676,1.4383533,0.47648904,0.47550812,4,RSN,3,CINIC
1.3959285,1.3831314,0.49507388,0.49858198,4,RSN,4,CINIC
1.6923579,1.8574492,0.3760636,0.31042117,5,RSN,0,CINIC
1.5849673,1.6249154,0.41703987,0.4010747,5,RSN,1,CINIC
1.5089276,1.5273196,0.44491714,0.44106525,5,RSN,2,CINIC
1.4545689,1.4626703,0.46943575,0.46800756,5,RSN,3,CINIC
1.4111542,1.4104812,0.48701298,0.48900416,5,RSN,4,CINIC
1.7009083,1.8573552,0.37651142,0.31272236,6,RSN,0,CINIC
1.5999882,1.638201,0.41244963,0.39649725,6,RSN,1,CINIC
1.5235324,1.5421052,0.4411106,0.43535587,6,RSN,2,CINIC
1.470804,1.4750592,0.46182266,0.46254694,6,RSN,3,CINIC
1.4296423,1.4235891,0.4786162,0.48450133,6,RSN,4,CINIC
1.6808276,1.8527172,0.3825571,0.3141528,7,RSN,0,CINIC
1.5731269,1.6221519,0.42510077,0.40358734,7,RSN,1,CINIC
1.4940392,1.5199531,0.4536498,0.44375202,7,RSN,2,CINIC
1.4426107,1.4516377,0.47458577,0.47175163,7,RSN,3,CINIC
1.4008399,1.3954908,0.49249887,0.494925,7,RSN,4,CINIC
1.7155566,1.8645375,0.36621138,0.30915242,8,RSN,0,CINIC
1.6099405,1.6402782,0.41099417,0.39449462,8,RSN,1,CINIC
1.5310463,1.5370386,0.43954322,0.43669924,8,RSN,2,CINIC
1.4684049,1.4646814,0.46674877,0.4652586,8,RSN,3,CINIC
1.4180748,1.409718,0.48690104,0.48738712,8,RSN,4,CINIC
1.6938668,1.8635577,0.37583968,0.3096624,9,RSN,0,CINIC
1.5975169,1.6356252,0.41558442,0.39700723,9,RSN,1,CINIC
1.5296499,1.5417018,0.44256607,0.4344354,9,RSN,2,CINIC
1.4678386,1.4703538,0.46764442,0.4625221,9,RSN,3,CINIC
1.4221619,1.413304,0.48869234,0.48639202,9,RSN,4,CINIC
1.6985624,1.857633,0.3729288,0.3116899,10,RSN,0,CINIC
1.5924046,1.6309981,0.4187192,0.3970321,10,RSN,1,CINIC
1.5155803,1.5341687,0.44883564,0.43704754,10,RSN,2,CINIC
1.4646178,1.4684616,0.4707792,0.46474862,10,RSN,3,CINIC
1.4249004,1.4189804,0.48746082,0.4850113,10,RSN,4,CINIC
1.707133,1.8703206,0.3747201,0.30845585,11,RSN,0,CINIC
1.618527,1.6617914,0.40707567,0.38984254,11,RSN,1,CINIC
1.5534663,1.5714267,0.4359606,0.42392468,11,RSN,2,CINIC
1.4868823,1.4979597,0.45913568,0.4524218,11,RSN,3,CINIC
1.435312,1.4391274,0.48029557,0.4751847,11,RSN,4,CINIC
1.6917365,1.841002,0.3794223,0.31761077,12,RSN,0,CINIC
1.5880287,1.6193987,0.42230183,0.40266687,12,RSN,1,CINIC
1.5131743,1.5214725,0.45017913,0.44301814,12,RSN,2,CINIC
1.4515022,1.456566,0.47548142,0.46902755,12,RSN,3,CINIC
1.406578,1.4045985,0.4929467,0.48926538,12,RSN,4,CINIC
1.7256085,1.8775855,0.36833856,0.30514714,13,RSN,0,CINIC
1.6052325,1.6440375,0.41267353,0.39588776,13,RSN,1,CINIC
1.5291517,1.545773,0.44066277,0.43599024,13,RSN,2,CINIC
1.4796828,1.482017,0.4596955,0.46071845,13,RSN,3,CINIC
1.4394711,1.4337362,0.47850424,0.47886658,13,RSN,4,CINIC
1.6852325,1.8519108,0.37718317,0.3139538,14,RSN,0,CINIC
1.5779991,1.6286217,0.42163008,0.40076375,14,RSN,1,CINIC
1.4985118,1.5264248,0.45174652,0.44035625,14,RSN,2,CINIC
1.4406891,1.4541138,0.47693685,0.46988583,14,RSN,3,CINIC
1.3977102,1.3958944,0.49395433,0.49231285,14,RSN,4,CINIC
