test loss,training loss,test accuracy,training accuracy,model_nr,Sparsity,epochs,dataset
1.3043118,1.4861825,0.5441111,0.47298306,0,WT(CIFAR),0,CINIC
1.2239707,1.2486515,0.5716525,0.5587979,0,WT(CIFAR),1,CINIC
1.1869279,1.1524634,0.58531123,0.5959773,0,WT(CIFAR),2,CINIC
1.1691799,1.0777938,0.59382,0.623753,0,WT(CIFAR),3,CINIC
1.1618229,1.0113666,0.6013211,0.6480086,0,WT(CIFAR),4,CINIC
1.305573,1.4772954,0.5408643,0.47716248,1,WT(CIFAR),0,CINIC
1.2227172,1.2485809,0.572772,0.5596935,1,WT(CIFAR),1,CINIC
1.1825302,1.1532524,0.5851993,0.5958156,1,WT(CIFAR),2,CINIC
1.1617875,1.0792305,0.5919167,0.62290716,1,WT(CIFAR),3,CINIC
1.1527053,1.0135299,0.5952754,0.6477722,1,WT(CIFAR),4,CINIC
1.2991138,1.4760532,0.54030454,0.47789636,2,WT(CIFAR),0,CINIC
1.2191331,1.2456678,0.56829375,0.5596935,2,WT(CIFAR),1,CINIC
1.1812121,1.1516178,0.58161664,0.59475833,2,WT(CIFAR),2,CINIC
1.1595995,1.0765648,0.5903493,0.6233301,2,WT(CIFAR),3,CINIC
1.1508491,1.0083596,0.59639496,0.6490037,2,WT(CIFAR),4,CINIC
1.309524,1.4833436,0.53974473,0.47280893,3,WT(CIFAR),0,CINIC
1.2242744,1.2521213,0.56941336,0.5590716,3,WT(CIFAR),1,CINIC
1.1820145,1.1543006,0.58575904,0.59393734,3,WT(CIFAR),2,CINIC
1.1619194,1.0796874,0.59359604,0.62116575,3,WT(CIFAR),3,CINIC
1.1524148,1.0135164,0.59785044,0.6467149,3,WT(CIFAR),4,CINIC
1.3045309,1.4774642,0.53896105,0.47849342,4,WT(CIFAR),0,CINIC
1.2186601,1.2476757,0.5731079,0.56042737,4,WT(CIFAR),1,CINIC
1.1794875,1.1541176,0.585983,0.5946464,4,WT(CIFAR),2,CINIC
1.1612071,1.0802999,0.5950515,0.6221484,4,WT(CIFAR),3,CINIC
1.1533923,1.0139967,0.59650695,0.6465532,4,WT(CIFAR),4,CINIC
1.2973541,1.4665949,0.54388714,0.48162797,5,WT(CIFAR),0,CINIC
1.2205368,1.2389015,0.5699731,0.56396,5,WT(CIFAR),1,CINIC
1.188532,1.143194,0.5820645,0.59840286,5,WT(CIFAR),2,CINIC
1.1715426,1.067282,0.59001344,0.62671345,5,WT(CIFAR),3,CINIC
1.1636387,0.99920624,0.59516346,0.65201384,5,WT(CIFAR),4,CINIC
1.3073236,1.4763292,0.53840125,0.47861782,6,WT(CIFAR),0,CINIC
