test loss,training loss,test accuracy,training accuracy,model_nr,Sparsity,epochs,dataset
1.5486308,1.7225127,0.43842363,0.37206757,0,WT(SVHN),0,CINIC
1.4463273,1.4938995,0.4783923,0.46335548,0,WT(SVHN),1,CINIC
1.3915387,1.3927647,0.50011194,0.50189066,0,WT(SVHN),2,CINIC
1.3613013,1.3201813,0.51209134,0.5282359,0,WT(SVHN),3,CINIC
1.3410975,1.2592195,0.52384686,0.55055106,0,WT(SVHN),4,CINIC
1.5449374,1.7091687,0.43864757,0.37604797,1,WT(SVHN),0,CINIC
1.4435041,1.4885778,0.4815271,0.4643257,1,WT(SVHN),1,CINIC
1.3827145,1.3896288,0.5060457,0.5010822,1,WT(SVHN),2,CINIC
1.3458501,1.3145515,0.51735336,0.5287708,1,WT(SVHN),3,CINIC
1.3237661,1.2504317,0.5266458,0.5531134,1,WT(SVHN),4,CINIC
1.5428588,1.7165055,0.44312584,0.37244073,2,WT(SVHN),0,CINIC
1.4352921,1.4923561,0.48454994,0.46296987,2,WT(SVHN),1,CINIC
1.3771794,1.3897104,0.50772506,0.50167924,2,WT(SVHN),2,CINIC
1.3405505,1.3151395,0.5194805,0.52974105,2,WT(SVHN),3,CINIC
1.3179866,1.2538126,0.53190774,0.5537229,2,WT(SVHN),4,CINIC
1.5371667,1.7095627,0.4465965,0.37513992,3,WT(SVHN),0,CINIC
1.4341166,1.480374,0.48499775,0.46683833,3,WT(SVHN),1,CINIC
1.3808059,1.3799404,0.5057098,0.5048138,3,WT(SVHN),2,CINIC
1.3486145,1.3060935,0.51858485,0.5338334,3,WT(SVHN),3,CINIC
1.327315,1.2433277,0.52776533,0.5567207,3,WT(SVHN),4,CINIC
1.5378197,1.7080184,0.44334975,0.3742568,4,WT(SVHN),0,CINIC
1.4396536,1.4844446,0.48510972,0.4647113,4,WT(SVHN),1,CINIC
1.3794117,1.3874058,0.50761306,0.50205237,4,WT(SVHN),2,CINIC
1.3401017,1.3117325,0.5176892,0.5310222,4,WT(SVHN),3,CINIC
1.3132184,1.246665,0.52328706,0.55511606,4,WT(SVHN),4,CINIC
1.5536907,1.7130806,0.43999106,0.37341094,5,WT(SVHN),0,CINIC
1.4536976,1.4981741,0.47693685,0.46051943,5,WT(SVHN),1,CINIC
1.3967834,1.3987607,0.50022393,0.49827102,5,WT(SVHN),2,CINIC
1.3648068,1.3244631,0.5128751,0.5248775,5,WT(SVHN),3,CINIC
1.3408662,1.2612623,0.5212718,0.54868525,5,WT(SVHN),4,CINIC
1.5644847,1.7275281,0.43248993,0.368933,6,WT(SVHN),0,CINIC
1.4630644,1.5065273,0.4721227,0.4581312,6,WT(SVHN),1,CINIC
1.4027791,1.4065311,0.4960815,0.49655446,6,WT(SVHN),2,CINIC
1.3633369,1.3319339,0.51074785,0.5228624,6,WT(SVHN),3,CINIC
1.3347396,1.2686958,0.5211599,0.5468816,6,WT(SVHN),4,CINIC
1.5305829,1.7036395,0.44861174,0.37787646,7,WT(SVHN),0,CINIC
1.4243672,1.4712031,0.4856695,0.47115457,7,WT(SVHN),1,CINIC
1.368125,1.3712891,0.5086207,0.5089932,7,WT(SVHN),2,CINIC
1.3334548,1.3011781,0.51757723,0.5350026,7,WT(SVHN),3,CINIC
1.3120532,1.2436584,0.531236,0.557156,7,WT(SVHN),4,CINIC
1.546873,1.7133932,0.43528885,0.37382144,8,WT(SVHN),0,CINIC
1.4493022,1.4888372,0.4786162,0.46425107,8,WT(SVHN),1,CINIC
