test loss,training loss,test accuracy,training accuracy,model_nr,Sparsity,epochs,dataset
1.2561747,1.3916717,0.5559785,0.51066,0,WT,0,CINIC
1.1784701,1.0354661,0.5822884,0.6377342,0,WT,1,CINIC
1.193533,0.84053206,0.5841917,0.70955545,0,WT,2,CINIC
1.2599007,0.69807655,0.58262426,0.7625942,0,WT,3,CINIC
1.3552663,0.5893625,0.580609,0.8021121,0,WT,4,CINIC
1.2525489,1.3944702,0.55866545,0.5084086,1,WT,0,CINIC
1.1795839,1.0321236,0.58575904,0.6400229,1,WT,1,CINIC
1.2120475,0.8240516,0.5878863,0.715638,1,WT,2,CINIC
1.301364,0.67034984,0.583408,0.7734408,1,WT,3,CINIC
1.4203292,0.5558518,0.5788177,0.8163296,1,WT,4,CINIC
1.253404,1.3868788,0.5596731,0.5131353,2,WT,0,CINIC
1.1889582,1.0263491,0.5820645,0.6407443,2,WT,1,CINIC
1.2175212,0.8281183,0.58441556,0.7152275,2,WT,2,CINIC
1.2900093,0.6828684,0.57948947,0.7688633,2,WT,3,CINIC
1.3870023,0.57426876,0.578146,0.8084559,2,WT,4,CINIC
1.247067,1.3890762,0.56012094,0.5106973,3,WT,0,CINIC
1.1732506,1.0130843,0.58631885,0.6464288,3,WT,1,CINIC
1.201156,0.80166435,0.58766234,0.72336245,3,WT,2,CINIC
1.2869153,0.64861643,0.58531123,0.78077966,3,WT,3,CINIC
1.3997897,0.5368522,0.57747424,0.82315844,3,WT,4,CINIC
1.2537181,1.3953589,0.55721,0.50988877,4,WT,0,CINIC
1.176631,1.0290229,0.58273625,0.6404707,4,WT,1,CINIC
1.1954808,0.82923746,0.5899015,0.71315026,4,WT,2,CINIC
1.2622021,0.6859658,0.5860949,0.76620144,4,WT,3,CINIC
1.3706708,0.5780205,0.5799373,0.8064408,4,WT,4,CINIC
1.2565286,1.3798903,0.55452305,0.51498866,5,WT,0,CINIC
1.1939476,1.0213177,0.578258,0.64234895,5,WT,1,CINIC
1.2131407,0.82517684,0.58351994,0.71444386,5,WT,2,CINIC
1.2924603,0.6828728,0.58139277,0.7678185,5,WT,3,CINIC
1.407891,0.5753033,0.5779221,0.80748564,5,WT,4,CINIC
1.2455554,1.3836322,0.5541872,0.51292384,6,WT,0,CINIC
1.1755317,1.0129824,0.5779221,0.6466403,6,WT,1,CINIC
1.2088633,0.80424917,0.57937753,0.7247929,6,WT,2,CINIC
1.2948496,0.65305406,0.575571,0.779399,6,WT,3,CINIC
1.4047823,0.54123044,0.575459,0.8213797,6,WT,4,CINIC
1.2522291,1.3884543,0.5594492,0.5114436,7,WT,0,CINIC
1.1755567,1.028057,0.58172864,0.6394383,7,WT,1,CINIC
1.2083027,0.8278065,0.5843036,0.7128517,7,WT,2,CINIC
1.2973229,0.6830425,0.5752351,0.7657412,7,WT,3,CINIC
1.4074553,0.57547826,0.5687416,0.8066771,7,WT,4,CINIC
1.2541065,1.3878717,0.5578818,0.5115929,8,WT,0,CINIC
1.1838174,1.0195364,0.58038515,0.6438789,8,WT,1,CINIC
1.2118334,0.8098099,0.583296,0.7210115,8,WT,2,CINIC
1.2993423,0.65531343,0.58396775,0.77846605,8,WT,3,CINIC
1.4136688,0.5419952,0.5779221,0.8204468,8,WT,4,CINIC
1.2585939,1.3995444,0.5541872,0.50544816,9,WT,0,CINIC
1.1844813,1.0363743,0.583408,0.63862973,9,WT,1,CINIC
1.1977249,0.8317456,0.58911777,0.7138468,9,WT,2,CINIC
1.2673541,0.68199223,0.5865428,0.76924896,9,WT,3,CINIC
1.3675886,0.57162166,0.5850873,0.80926436,9,WT,4,CINIC
1.2449268,1.3850685,0.5588894,0.5110207,10,WT,0,CINIC
1.1776836,1.0306892,0.58116883,0.6386049,10,WT,1,CINIC
1.2109693,0.8323769,0.5851993,0.71196854,10,WT,2,CINIC
1.2997698,0.6875446,0.580721,0.7670348,10,WT,3,CINIC
1.405592,0.5798107,0.5770264,0.8067269,10,WT,4,CINIC
1.2498587,1.3844475,0.5593372,0.514516,11,WT,0,CINIC
1.178811,1.0201114,0.58441556,0.6454462,11,WT,1,CINIC
1.2127305,0.8085398,0.58922976,0.7220564,11,WT,2,CINIC
1.3009475,0.65097207,0.5874384,0.78028214,11,WT,3,CINIC
1.4237334,0.5336546,0.5801612,0.8247506,11,WT,4,CINIC
1.2437031,1.3869277,0.56291986,0.51129436,12,WT,0,CINIC
1.1671427,1.0203707,0.5841917,0.64248574,12,WT,1,CINIC
1.1870015,0.8150687,0.583408,0.7176655,12,WT,2,CINIC
1.2609673,0.66542655,0.5862069,0.773503,12,WT,3,CINIC
1.365004,0.5538892,0.5846395,0.81519765,12,WT,4,CINIC
1.2534869,1.3917227,0.55463505,0.5095032,13,WT,0,CINIC
1.1764189,1.0400392,0.5776982,0.6345374,13,WT,1,CINIC
1.1950347,0.8508595,0.5825123,0.7048163,13,WT,2,CINIC
1.2596849,0.7147883,0.58128077,0.75544196,13,WT,3,CINIC
1.3479671,0.6117145,0.572772,0.79367864,13,WT,4,CINIC
1.2571265,1.3919199,0.5557546,0.5091549,14,WT,0,CINIC
1.1889508,1.0385797,0.57758623,0.6375227,14,WT,1,CINIC
1.2094258,0.84336215,0.58407974,0.7087842,14,WT,2,CINIC
1.2703252,0.7018929,0.5828482,0.76096475,14,WT,3,CINIC
1.3661485,0.59702754,0.57613075,0.7994129,14,WT,4,CINIC
