test loss,training loss,test accuracy,training accuracy,model_nr,Sparsity,epochs,dataset
1.4215071,1.605914,0.49126735,0.41139886,0,original,0,CINIC
1.2758782,1.323126,0.54567844,0.5226758,0,original,1,CINIC
1.2197306,1.1862752,0.5616883,0.57643604,0,original,2,CINIC
1.189793,1.081559,0.57725036,0.6167873,0,original,3,CINIC
1.1840097,0.97914326,0.5819525,0.6542528,0,original,4,CINIC
1.4039794,1.5962092,0.4932826,0.4156778,1,original,0,CINIC
1.2808274,1.3068072,0.54310346,0.5299649,1,original,1,CINIC
1.2179232,1.1668328,0.565047,0.5838993,1,original,2,CINIC
1.1818005,1.0562351,0.5791536,0.62589246,1,original,3,CINIC
1.194266,0.9470796,0.57926553,0.66743785,1,original,4,CINIC
1.446658,1.6047423,0.48063144,0.41049084,2,original,0,CINIC
1.2930117,1.3290366,0.53884906,0.5198149,2,original,1,CINIC
1.2315514,1.1938281,0.5584416,0.5712242,2,original,2,CINIC
1.2038552,1.0946494,0.56784594,0.6096972,2,original,3,CINIC
1.1961149,0.99921453,0.5726601,0.6461054,2,original,4,CINIC
1.4298075,1.611471,0.48981193,0.4088116,3,original,0,CINIC
1.2952063,1.3298583,0.536498,0.52178025,3,original,1,CINIC
1.2324674,1.180962,0.554747,0.57846355,3,original,2,CINIC
1.1980115,1.0703543,0.5635916,0.61992186,3,original,3,CINIC
1.1986107,0.9632835,0.56515896,0.6606712,3,original,4,CINIC
1.4080139,1.5962136,0.49395433,0.414011,4,original,0,CINIC
1.2711544,1.3056573,0.5447828,0.52966636,4,original,1,CINIC
1.2276905,1.1678902,0.55922526,0.5844217,4,original,2,CINIC
1.2011791,1.0629853,0.5714286,0.6233674,4,original,3,CINIC
1.1944339,0.9590584,0.5783699,0.6632336,4,original,4,CINIC
1.4343458,1.60493,0.48701298,0.40994352,5,original,0,CINIC
1.3045231,1.32689,0.531236,0.5215066,5,original,1,CINIC
1.2356515,1.181581,0.55776983,0.57755554,5,original,2,CINIC
1.2038805,1.0724524,0.56706226,0.6191134,5,original,3,CINIC
1.210539,0.97150034,0.56963724,0.65686494,5,original,4,CINIC
1.427122,1.5956186,0.4838782,0.41556585,6,original,0,CINIC
1.2913048,1.316943,0.54265565,0.5248775,6,original,1,CINIC
1.2559646,1.1793327,0.55138826,0.57848847,6,original,2,CINIC
1.2107046,1.0700107,0.56963724,0.61967313,6,original,3,CINIC
1.196444,0.9618165,0.5778101,0.6615419,6,original,4,CINIC
1.4149975,1.5909531,0.4864532,0.41814065,7,original,0,CINIC
1.2755203,1.3019558,0.5455665,0.53071123,7,original,1,CINIC
1.2449684,1.165372,0.5512763,0.58282954,7,original,2,CINIC
1.2035247,1.05855,0.5680699,0.62340474,7,original,3,CINIC
1.1920376,0.9542393,0.575571,0.6631092,7,original,4,CINIC
1.3942356,1.5802923,0.49944022,0.42241958,8,original,0,CINIC
1.280704,1.2995712,0.54209584,0.53215414,8,original,1,CINIC
1.2330022,1.1632652,0.5570981,0.5842849,8,original,2,CINIC
1.2043619,1.0510948,0.56706226,0.6272483,8,original,3,CINIC
1.2101535,0.9374252,0.5713166,0.66983855,8,original,4,CINIC
1.4285368,1.5937525,0.48746082,0.41580218,9,original,0,CINIC
1.2858332,1.3068398,0.5396328,0.52994007,9,original,1,CINIC
1.2184043,1.1716887,0.56314373,0.5818469,9,original,2,CINIC
1.1871375,1.06871,0.5744514,0.620096,9,original,3,CINIC
1.1830806,0.96718085,0.5779221,0.65846956,9,original,4,CINIC
1.4127836,1.590223,0.49720109,0.41659826,10,original,0,CINIC
1.2972823,1.3099834,0.5385132,0.5283479,10,original,1,CINIC
1.2636073,1.1704936,0.54769367,0.58115035,10,original,2,CINIC
1.227741,1.0588573,0.55721,0.62453663,10,original,3,CINIC
1.2368333,0.9480949,0.55821764,0.66512424,10,original,4,CINIC
1.4480425,1.6037481,0.47559336,0.41087642,11,original,0,CINIC
1.2754086,1.3062207,0.5408643,0.52966636,11,original,1,CINIC
1.2274587,1.1711055,0.5581057,0.5817971,11,original,2,CINIC
1.1927714,1.0649947,0.56885356,0.6217255,11,original,3,CINIC
1.1901277,0.9591625,0.5713166,0.6616912,11,original,4,CINIC
1.4352086,1.6201234,0.48466188,0.40677166,12,original,0,CINIC
1.30412,1.3386925,0.53470665,0.516954,12,original,1,CINIC
1.2540289,1.2047997,0.5515002,0.5697316,12,original,2,CINIC
1.2081145,1.106868,0.56515896,0.6058039,12,original,3,CINIC
1.1930158,1.0149555,0.57333183,0.64110506,12,original,4,CINIC
1.4200805,1.605366,0.48858038,0.41020474,13,original,0,CINIC
1.2861001,1.3249813,0.54075235,0.5218549,13,original,1,CINIC
1.2343628,1.186343,0.5583296,0.5764236,13,original,2,CINIC
1.2018875,1.0854445,0.5695253,0.61341643,13,original,3,CINIC
1.1913526,0.98849523,0.5746753,0.65067047,13,original,4,CINIC
1.4316255,1.6000184,0.4827586,0.4121203,14,original,0,CINIC
1.2911143,1.3177814,0.5380654,0.52579796,14,original,1,CINIC
1.2478353,1.1874359,0.5523959,0.57415974,14,original,2,CINIC
1.2151613,1.0895118,0.5653829,0.61208546,14,original,3,CINIC
1.1989423,0.9949189,0.5724362,0.6474239,14,original,4,CINIC
