test loss,training loss,test accuracy,training accuracy,model_nr,Sparsity,epochs,dataset
1.4261563,2.0569227,0.55672354,0.26932293,0,RSN,0,SVHN
0.7415982,0.99567914,0.7804778,0.69776434,0,RSN,1,SVHN
0.5854093,0.6516657,0.825256,0.8137323,0,RSN,2,SVHN
0.52596885,0.54982215,0.84505117,0.8439756,0,RSN,3,SVHN
0.49287117,0.49695173,0.85774744,0.8590821,0,RSN,4,SVHN
1.3113015,2.0109177,0.6047782,0.28819087,1,RSN,0,SVHN
0.76299536,0.9829431,0.7776109,0.7031335,1,RSN,1,SVHN
0.6183522,0.679639,0.8241638,0.80548143,1,RSN,2,SVHN
0.55684173,0.5757851,0.8421843,0.83646786,1,RSN,3,SVHN
0.52864474,0.52161044,0.8490102,0.8523934,1,RSN,4,SVHN
1.255295,1.9778088,0.6050512,0.30420735,2,RSN,0,SVHN
0.7332128,0.9286454,0.7849829,0.72222894,2,RSN,1,SVHN
0.5900415,0.6507344,0.8283959,0.8132925,2,RSN,2,SVHN
0.530708,0.5514908,0.8472355,0.8436116,2,RSN,3,SVHN
0.49923074,0.49738255,0.8589761,0.8596736,2,RSN,4,SVHN
1.1613461,1.9010949,0.6430034,0.33666503,3,RSN,0,SVHN
0.71594965,0.9047773,0.79549485,0.7301917,3,RSN,1,SVHN
0.58865464,0.64556277,0.828942,0.81477886,3,RSN,2,SVHN
0.53477615,0.5508072,0.8449147,0.8433234,3,RSN,3,SVHN
0.5020865,0.49871096,0.8546075,0.8582479,3,RSN,4,SVHN
1.3604035,1.9725915,0.5758362,0.3067251,4,RSN,0,SVHN
0.77141,1.0243441,0.77720135,0.6920767,4,RSN,1,SVHN
0.61764413,0.68213886,0.81938565,0.80542076,4,RSN,2,SVHN
0.55145943,0.5715867,0.83945394,0.83850026,4,RSN,3,SVHN
0.51195365,0.51404786,0.854744,0.8545926,4,RSN,4,SVHN
1.3234662,2.0561922,0.59372014,0.26968694,5,RSN,0,SVHN
0.7427722,0.95532477,0.7840273,0.7097919,5,RSN,1,SVHN
0.61425745,0.67420644,0.8196587,0.8063611,5,RSN,2,SVHN
0.5592059,0.57697886,0.83877134,0.834754,5,RSN,3,SVHN
0.5268569,0.52348965,0.8479181,0.85019416,5,RSN,4,SVHN
1.2060573,1.9695051,0.63508534,0.3047837,6,RSN,0,SVHN
0.688807,0.88410497,0.80737203,0.73862463,6,RSN,1,SVHN
0.5776334,0.629967,0.8357679,0.8221501,6,RSN,2,SVHN
0.5306019,0.5494308,0.8502389,0.8452193,6,RSN,3,SVHN
0.5011801,0.50388354,0.85829353,0.8583844,6,RSN,4,SVHN
1.1494799,1.8950233,0.65406144,0.34106353,7,RSN,0,SVHN
0.71601135,0.88999003,0.7907167,0.7360614,7,RSN,1,SVHN
0.6009843,0.6575311,0.82498294,0.8110326,7,RSN,2,SVHN
0.5474995,0.5683562,0.8409556,0.8385306,7,RSN,3,SVHN
0.51291203,0.51750326,0.8502389,0.8535461,7,RSN,4,SVHN
1.2811285,1.990658,0.60259384,0.2970333,8,RSN,0,SVHN
0.7373853,0.9512737,0.7826621,0.7151611,8,RSN,1,SVHN
0.6049001,0.66684234,0.8270307,0.80883336,8,RSN,2,SVHN
0.5499878,0.5699591,0.84505117,0.8386823,8,RSN,3,SVHN
0.5205303,0.5184363,0.85392493,0.85337925,8,RSN,4,SVHN
1.3848426,2.0523927,0.5613652,0.2707183,9,RSN,0,SVHN
0.7341069,0.97435397,0.7890785,0.70736516,9,RSN,1,SVHN
0.60782343,0.6508815,0.8283959,0.8144907,9,RSN,2,SVHN
0.5528016,0.5587385,0.843413,0.8422314,9,RSN,3,SVHN
0.5186978,0.50850594,0.854198,0.8571407,9,RSN,4,SVHN
1.2343826,1.9489884,0.62061435,0.31380817,10,RSN,0,SVHN
0.7322728,0.9279394,0.7882594,0.72034824,10,RSN,1,SVHN
0.6085549,0.66319686,0.8241638,0.80837834,10,RSN,2,SVHN
0.5491418,0.57105726,0.8415017,0.8359067,10,RSN,3,SVHN
0.5142318,0.5180845,0.85255975,0.85148335,10,RSN,4,SVHN
1.3017856,2.0271907,0.60873723,0.28449008,11,RSN,0,SVHN
0.7467309,0.95268166,0.7848464,0.709079,11,RSN,1,SVHN
0.6227854,0.6802867,0.82375425,0.80379784,11,RSN,2,SVHN
0.564765,0.58100736,0.8391809,0.8349663,11,RSN,3,SVHN
0.52836007,0.5253566,0.85010237,0.8517412,11,RSN,4,SVHN
1.3674152,2.0367792,0.5739249,0.2772402,12,RSN,0,SVHN
0.75759554,0.9870867,0.7782935,0.70337623,12,RSN,1,SVHN
0.6162212,0.669736,0.8208874,0.80809015,12,RSN,2,SVHN
0.555126,0.56713176,0.84109217,0.8380908,12,RSN,3,SVHN
0.52028954,0.51157236,0.8509215,0.8540618,12,RSN,4,SVHN
1.3800931,2.036251,0.57733786,0.27619365,13,RSN,0,SVHN
0.7583972,0.9934637,0.78143346,0.7013741,13,RSN,1,SVHN
0.6164821,0.6746827,0.8234812,0.8057999,13,RSN,2,SVHN
0.55337346,0.57213324,0.8416382,0.8367257,13,RSN,3,SVHN
0.52054316,0.5176738,0.85064846,0.8530456,13,RSN,4,SVHN
1.3364087,2.0380428,0.585529,0.2783777,14,RSN,0,SVHN
0.7105482,0.93213665,0.79017067,0.7215465,14,RSN,1,SVHN
0.5861043,0.63971984,0.8307167,0.81664443,14,RSN,2,SVHN
0.53081286,0.547141,0.84819114,0.8445671,14,RSN,3,SVHN
0.4978832,0.4976788,0.8585666,0.8594461,14,RSN,4,SVHN
