test loss,training loss,test accuracy,training accuracy,model_nr,Sparsity,epochs,dataset
0.69226617,1.2848682,0.80464166,0.5912759,0,WT(CIFAR),0,SVHN
0.5537514,0.6115101,0.8420478,0.8283838,0,WT(CIFAR),1,SVHN
0.50558317,0.5128733,0.8567918,0.856534,0,WT(CIFAR),2,SVHN
0.4766489,0.4601581,0.8653925,0.8718528,0,WT(CIFAR),3,SVHN
0.45351413,0.41898468,0.87399316,0.8823637,0,WT(CIFAR),4,SVHN
0.6780115,1.2559507,0.80477816,0.60257536,1,WT(CIFAR),0,SVHN
0.54479766,0.59659123,0.84573376,0.83211493,1,WT(CIFAR),1,SVHN
0.49217504,0.49833563,0.8625256,0.8599466,1,WT(CIFAR),2,SVHN
0.4614532,0.44570857,0.87167233,0.8744616,1,WT(CIFAR),3,SVHN
0.44108713,0.40676278,0.8787713,0.8852606,1,WT(CIFAR),4,SVHN
0.6692067,1.2325902,0.80901027,0.6103106,2,WT(CIFAR),0,SVHN
0.5368547,0.5976872,0.84614336,0.83167505,2,WT(CIFAR),1,SVHN
0.48674706,0.50058746,0.86225253,0.8594006,2,WT(CIFAR),2,SVHN
0.45757997,0.4464874,0.8719454,0.87406725,2,WT(CIFAR),3,SVHN
0.4371527,0.4056592,0.8780887,0.88545775,2,WT(CIFAR),4,SVHN
0.6722062,1.2729526,0.8120136,0.5940363,3,WT(CIFAR),0,SVHN
0.54661417,0.5935506,0.8460068,0.8347843,3,WT(CIFAR),1,SVHN
0.49657574,0.4988864,0.85843,0.8599466,3,WT(CIFAR),2,SVHN
0.46767363,0.44606608,0.8647099,0.8749621,3,WT(CIFAR),3,SVHN
0.44623724,0.40622097,0.87153584,0.88551843,3,WT(CIFAR),4,SVHN
0.69578576,1.2784047,0.7984983,0.5952042,4,WT(CIFAR),0,SVHN
0.5574621,0.61336887,0.83877134,0.82607836,4,WT(CIFAR),1,SVHN
0.50216246,0.5096855,0.85337883,0.85664016,4,WT(CIFAR),2,SVHN
0.47015887,0.45237553,0.8634812,0.87288415,4,WT(CIFAR),3,SVHN
0.44653073,0.4099514,0.87153584,0.8847601,4,WT(CIFAR),4,SVHN
0.66359186,1.2201521,0.81119454,0.61636233,5,WT(CIFAR),0,SVHN
0.5387123,0.5811421,0.8465529,0.83736277,5,WT(CIFAR),1,SVHN
0.48882547,0.4848555,0.86129695,0.8641479,5,WT(CIFAR),2,SVHN
0.45840824,0.43172053,0.8741297,0.87872356,5,WT(CIFAR),3,SVHN
0.43767583,0.3914185,0.87890786,0.89008373,5,WT(CIFAR),4,SVHN
0.6619706,1.2321645,0.81433445,0.6127829,6,WT(CIFAR),0,SVHN
0.5372424,0.5904073,0.8472355,0.8344203,6,WT(CIFAR),1,SVHN
0.48833457,0.49798536,0.8611604,0.85959774,6,WT(CIFAR),2,SVHN
0.46058682,0.44558266,0.8697611,0.87484074,6,WT(CIFAR),3,SVHN
0.43826956,0.4056615,0.8779522,0.88545775,6,WT(CIFAR),4,SVHN
0.66014826,1.2222166,0.8137884,0.61519444,7,WT(CIFAR),0,SVHN
0.533727,0.5849116,0.8528328,0.83551234,7,WT(CIFAR),1,SVHN
0.48571464,0.49264935,0.86511946,0.8620245,7,WT(CIFAR),2,SVHN
0.45914048,0.44076076,0.8731741,0.87667596,7,WT(CIFAR),3,SVHN
0.44031784,0.40134186,0.8798635,0.887384,7,WT(CIFAR),4,SVHN
0.67333657,1.2859427,0.80901027,0.5890311,8,WT(CIFAR),0,SVHN
0.5432642,0.59384394,0.84505117,0.8319784,8,WT(CIFAR),1,SVHN
0.4928065,0.49588275,0.8588396,0.8598556,8,WT(CIFAR),2,SVHN
0.46309635,0.44174135,0.8698976,0.8752806,8,WT(CIFAR),3,SVHN
0.4431107,0.40052876,0.87604094,0.8870048,8,WT(CIFAR),4,SVHN
0.6580899,1.2439061,0.81174064,0.60425895,9,WT(CIFAR),0,SVHN
0.5376499,0.5874786,0.8480546,0.8363162,9,WT(CIFAR),1,SVHN
0.4928566,0.49472147,0.86061436,0.86246437,9,WT(CIFAR),2,SVHN
0.46175328,0.44252047,0.87030715,0.8757508,9,WT(CIFAR),3,SVHN
0.43846217,0.40277153,0.87836176,0.88689864,9,WT(CIFAR),4,SVHN
0.6589529,1.2334327,0.81351537,0.6100831,10,WT(CIFAR),0,SVHN
0.5365683,0.5840884,0.8503754,0.8360735,10,WT(CIFAR),1,SVHN
0.49244785,0.491708,0.86075085,0.8625705,10,WT(CIFAR),2,SVHN
0.46795788,0.43971345,0.8683959,0.87681246,10,WT(CIFAR),3,SVHN
0.45186397,0.39995152,0.8737201,0.88712615,10,WT(CIFAR),4,SVHN
0.6680993,1.2587107,0.8088737,0.6003761,11,WT(CIFAR),0,SVHN
0.54445225,0.59907794,0.84764504,0.8309774,11,WT(CIFAR),1,SVHN
0.49861586,0.50552994,0.86129695,0.8589456,11,WT(CIFAR),2,SVHN
0.47067973,0.45484722,0.86880547,0.8732482,11,WT(CIFAR),3,SVHN
0.45040134,0.41677213,0.87658703,0.88327366,11,WT(CIFAR),4,SVHN
