test loss,training loss,test accuracy,training accuracy,model_nr,Sparsity,epochs,dataset
0.7202701,1.2994207,0.7927645,0.58900076,0,WT(CINIC),0,SVHN
0.56806225,0.62709546,0.84109217,0.8245313,0,WT(CINIC),1,SVHN
0.5118311,0.52113175,0.85556316,0.8554723,0,WT(CINIC),2,SVHN
0.47843638,0.46441764,0.8686689,0.8711855,0,WT(CINIC),3,SVHN
0.4569175,0.42285722,0.8748123,0.88233334,0,WT(CINIC),4,SVHN
0.6844622,1.3114047,0.8080546,0.58457196,1,WT(CINIC),0,SVHN
0.55281806,0.6040414,0.84327644,0.83194804,1,WT(CINIC),1,SVHN
0.51032776,0.50566095,0.8573379,0.85968876,1,WT(CINIC),2,SVHN
0.48059878,0.45252192,0.8679863,0.8742947,1,WT(CINIC),3,SVHN
0.46169516,0.41271195,0.87508535,0.8850634,1,WT(CINIC),4,SVHN
0.68139476,1.252063,0.8101024,0.60665536,2,WT(CINIC),0,SVHN
0.5500302,0.6023289,0.84764504,0.83153856,2,WT(CINIC),1,SVHN
0.5039351,0.50274265,0.85829353,0.85933995,2,WT(CINIC),2,SVHN
0.47640184,0.44690397,0.8673037,0.87464356,2,WT(CINIC),3,SVHN
0.45834836,0.4054867,0.87453926,0.88645875,2,WT(CINIC),4,SVHN
0.6866925,1.2794789,0.8057338,0.5951435,3,WT(CINIC),0,SVHN
0.5499948,0.602432,0.84641635,0.83043134,3,WT(CINIC),1,SVHN
0.5001213,0.5038874,0.8580205,0.85880905,3,WT(CINIC),2,SVHN
0.47283518,0.45032248,0.8662116,0.8736577,3,WT(CINIC),3,SVHN
0.45520058,0.4107715,0.8741297,0.8841837,3,WT(CINIC),4,SVHN
0.6858928,1.2701067,0.8077816,0.6006643,4,WT(CINIC),0,SVHN
0.54584277,0.6023104,0.84395903,0.8317054,4,WT(CINIC),1,SVHN
0.49580252,0.5063111,0.8587031,0.8594006,4,WT(CINIC),2,SVHN
0.4666442,0.45406237,0.8704437,0.8726567,4,WT(CINIC),3,SVHN
0.44940186,0.41486797,0.8744027,0.8841382,4,WT(CINIC),4,SVHN
0.6924656,1.2900875,0.80860066,0.59270155,5,WT(CINIC),0,SVHN
0.55579966,0.6025736,0.8460068,0.83182675,5,WT(CINIC),1,SVHN
0.5099264,0.5052559,0.8559727,0.8592641,5,WT(CINIC),2,SVHN
0.4847318,0.4541827,0.8660751,0.8728539,5,WT(CINIC),3,SVHN
0.46675217,0.41574666,0.8724915,0.883031,5,WT(CINIC),4,SVHN
0.6720619,1.2483946,0.81064844,0.6076412,6,WT(CINIC),0,SVHN
0.54989314,0.6006739,0.84505117,0.8325851,6,WT(CINIC),1,SVHN
0.50375515,0.5033198,0.85843,0.86061394,6,WT(CINIC),2,SVHN
0.476584,0.4479804,0.86566556,0.87484074,6,WT(CINIC),3,SVHN
0.45609474,0.4060844,0.8727645,0.88595825,6,WT(CINIC),4,SVHN
0.690337,1.2721362,0.80627984,0.5991021,7,WT(CINIC),0,SVHN
