test loss,training loss,test accuracy,training accuracy,model_nr,Sparsity,epochs,dataset
0.42130116,0.61448216,0.88273036,0.84276223,0,WT,0,SVHN
0.38173208,0.30144298,0.89597267,0.91621673,0,WT,1,SVHN
0.38322255,0.23177266,0.8987031,0.93617666,0,WT,2,SVHN
0.39970633,0.19139016,0.89911264,0.9487654,0,WT,3,SVHN
0.42426583,0.16447121,0.8963823,0.9570315,0,WT,4,SVHN
0.4168371,0.59935904,0.8835495,0.8471,1,WT,0,SVHN
0.38550386,0.29018313,0.8922867,0.9195231,1,WT,1,SVHN
0.39572603,0.2199201,0.8955631,0.9399988,1,WT,2,SVHN
0.41595784,0.17970102,0.8963823,0.95322454,1,WT,3,SVHN
0.44648188,0.15332107,0.8951536,0.9609446,1,WT,4,SVHN
0.4152182,0.5922298,0.8851877,0.84858644,2,WT,0,SVHN
0.38745028,0.2820479,0.8955631,0.9221774,2,WT,1,SVHN
0.39153618,0.21157745,0.8999317,0.94265306,2,WT,2,SVHN
0.41428673,0.16995484,0.9004778,0.9551659,2,WT,3,SVHN
0.44817287,0.14266506,0.8982935,0.96388704,2,WT,4,SVHN
0.42259607,0.6078949,0.883686,0.8423224,3,WT,0,SVHN
0.39277637,0.29505458,0.89269626,0.9177031,3,WT,1,SVHN
0.4003807,0.22516695,0.8967918,0.93886125,3,WT,2,SVHN
0.42114097,0.18554953,0.8943345,0.95134383,3,WT,3,SVHN
0.44615933,0.15872541,0.89351535,0.95953405,3,WT,4,SVHN
0.42108783,0.60571814,0.8820478,0.84321725,4,WT,0,SVHN
0.39503524,0.29032898,0.8937884,0.920327,4,WT,1,SVHN
0.4011034,0.22077428,0.89651877,0.94030213,4,WT,2,SVHN
0.42270625,0.18055701,0.89542663,0.9534065,4,WT,3,SVHN
0.44861072,0.15401857,0.8937884,0.96135414,4,WT,4,SVHN
0.42821324,0.62546635,0.8817747,0.8372111,5,WT,0,SVHN
0.39905387,0.30768284,0.8887372,0.9154432,5,WT,1,SVHN
0.40765274,0.23901328,0.8931058,0.9340988,5,WT,2,SVHN
0.42970785,0.20023993,0.8924232,0.9461415,5,WT,3,SVHN
0.4614438,0.17346995,0.89037544,0.9545289,5,WT,4,SVHN
0.41844034,0.60642797,0.88273036,0.84385425,6,WT,0,SVHN
0.38203892,0.28974098,0.89351535,0.9204787,6,WT,1,SVHN
0.38888633,0.22142683,0.89911264,0.94024146,6,WT,2,SVHN
0.41037682,0.18202117,0.89843005,0.95272404,6,WT,3,SVHN
0.43917254,0.15556909,0.8955631,0.96027726,6,WT,4,SVHN
0.41668946,0.61233944,0.8830034,0.8407905,7,WT,0,SVHN
0.37904248,0.29151228,0.89542663,0.9195838,7,WT,1,SVHN
0.3903629,0.22053625,0.89665526,0.9404538,7,WT,2,SVHN
0.41328496,0.18019705,0.89706486,0.95307285,7,WT,3,SVHN
0.44822466,0.15369526,0.8924232,0.96068674,7,WT,4,SVHN
0.4201187,0.59883,0.8820478,0.8452193,8,WT,0,SVHN
0.38866755,0.28664142,0.89597267,0.92081237,8,WT,1,SVHN
0.4014322,0.215049,0.8982935,0.9419705,8,WT,2,SVHN
0.43401864,0.17390867,0.89488053,0.95505977,8,WT,3,SVHN
0.47077942,0.14686581,0.89419794,0.96317416,8,WT,4,SVHN
0.41306406,0.595405,0.8868259,0.8474489,9,WT,0,SVHN
0.38766387,0.2849,0.89542663,0.9215252,9,WT,1,SVHN
0.4037119,0.21615839,0.8951536,0.942016,9,WT,2,SVHN
0.43007383,0.1760621,0.8943345,0.9546654,9,WT,3,SVHN
0.45746708,0.14948618,0.89351535,0.9626282,9,WT,4,SVHN
0.42270294,0.6166279,0.88150173,0.83994114,10,WT,0,SVHN
0.38181838,0.29529917,0.8961092,0.91826427,10,WT,1,SVHN
0.38727343,0.2236302,0.89856654,0.93928593,10,WT,2,SVHN
0.40499493,0.18337004,0.8996587,0.95199597,10,WT,3,SVHN
0.42557186,0.15692268,0.89979523,0.96000427,10,WT,4,SVHN
0.415852,0.5965392,0.8805461,0.84916276,11,WT,0,SVHN
0.38788682,0.28806722,0.8914676,0.920691,11,WT,1,SVHN
0.3952945,0.21885018,0.89419794,0.9404083,11,WT,2,SVHN
0.41744587,0.17958912,0.8956997,0.95234483,11,WT,3,SVHN
0.44247782,0.15313447,0.8952901,0.9609446,11,WT,4,SVHN
0.4261288,0.61137885,0.88259387,0.8423679,12,WT,0,SVHN
0.39455032,0.2988642,0.8936519,0.91715705,12,WT,1,SVHN
0.40611422,0.23001565,0.8931058,0.93690467,12,WT,2,SVHN
0.42712224,0.19030723,0.89269626,0.9489474,12,WT,3,SVHN
0.45403194,0.16332942,0.8914676,0.9579567,12,WT,4,SVHN
0.41582376,0.60157484,0.8858703,0.84567434,13,WT,0,SVHN
0.3832086,0.2954716,0.89474404,0.9179154,13,WT,1,SVHN
0.39238834,0.22703017,0.8976109,0.9390433,13,WT,2,SVHN
0.41354764,0.18741858,0.8958362,0.95049447,13,WT,3,SVHN
0.44006777,0.16089901,0.8931058,0.9583662,13,WT,4,SVHN
0.4145807,0.6147054,0.8842321,0.839926,14,WT,0,SVHN
0.38027766,0.29468498,0.8974744,0.9184918,14,WT,1,SVHN
0.38214967,0.22560367,0.9002048,0.9391798,14,WT,2,SVHN
0.3987266,0.18564264,0.9006143,0.95104045,14,WT,3,SVHN
0.42459664,0.15828934,0.89979523,0.9589881,14,WT,4,SVHN
